Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2011-06-30,24.953754,24.560949,1.2039,3044.09,22398.1
2011-07-04,30.199436,27.051226,1.2039,3121.98,22770.47
2011-07-05,32.405563,26.269964,1.2029,3122.5,22747.95
2011-07-06,32.748740999999995,25.439869,1.2034,3113.71,22517.55
2011-07-07,32.935032,25.488699,1.2036,3101.68,22530.18
2011-07-08,32.425171,24.805092000000002,1.2039,3109.18,22726.43
2011-07-11,32.189854,23.926170000000003,1.2046,3113.21,22347.23
2011-07-12,30.895594,22.461306,1.2044,3056.91,21663.16
2011-07-13,30.581833000000003,23.144910999999997,1.2045,3106.25,21926.88
2011-07-14,29.415034999999996,22.461306,1.206,3115.75,21940.2
2011-07-15,29.228739,21.7777,1.2059,3128.89,21875.38
2011-07-18,31.415257,21.924191,1.2052,3122.6,21804.75
2011-07-19,29.464059999999996,22.70545,1.206,3095.13,21902.4
2011-07-20,29.807238,23.535542,1.2065,3091.57,22003.69
2011-07-21,28.591413,22.80311,1.2078,3059.14,21987.29
2011-07-22,28.826733,24.072657,1.2084,3067.99,22444.8
2011-07-25,27.120663,23.096079,1.2091,2968.29,22293.29
2011-07-26,27.473646000000002,23.730856,1.2095,2977.77,22572.08
2011-07-27,28.630636,24.267975,1.2092,3000.05,22541.69
2011-07-28,27.846233,25.098066,1.2096,2981.0,22570.74
2011-07-29,27.620718,25.146894,1.2108,2972.08,22440.25
2011-08-01,28.542389,25.976988000000002,1.2109,2977.72,22663.37
2011-08-02,30.042559000000004,25.439869,1.2108,2956.38,22421.46
2011-08-03,29.973923,23.877344,1.2122,2954.87,21992.72
2011-08-04,29.346401,23.926170000000003,1.2117,2960.31,21884.74
2011-08-05,28.071747,22.754278,1.2122,2897.42,20946.14
2011-08-08,25.728354,21.484726000000002,1.2131,2793.9,20490.57
2011-08-09,25.934258,21.533558,1.2142,2798.19,19330.7
2011-08-10,25.934258,21.387068,1.216,2824.12,19783.67
2011-08-11,25.973475,21.533558,1.2187,2866.92,19595.14
2011-08-12,26.355871,21.28941,1.2196,2875.37,19620.01
2011-08-15,27.895259999999997,21.680042,1.2189,2917.88,20260.1
2011-08-16,27.071638,21.191751,1.2207,2897.58,20212.08
2011-08-17,27.248129,21.191751,1.2196,2886.01,20289.03
2011-08-18,26.277431,20.312832,1.2201,2834.25,20016.27
2011-08-19,25.600887,19.512037,1.2197,2807.66,19399.92
2011-08-22,25.796984,18.437801,1.2185,2777.79,19486.87
2011-08-23,26.110746,15.801041,1.2182,2821.0,19875.53
2011-08-24,25.2381,14.492425,1.22,2810.02,19466.79
2011-08-25,25.453812,15.039307,1.2198,2903.84,19752.48
2011-08-26,25.571468,15.605725,1.2205,2901.22,19582.88
2011-08-29,25.10083,15.234623999999998,1.2213,2852.81,19865.11
2011-08-30,25.218487,15.097903,1.2213,2841.74,20204.17
2011-08-31,24.296822,15.879169000000001,1.2207,2846.78,20534.85
2011-09-01,23.630079000000002,15.332282000000001,1.2195,2834.54,20585.33
2011-09-02,23.600664000000002,15.312751,1.2202,2803.85,20212.91
2011-09-05,22.355427,15.039307,1.22,2743.82,19616.4
2011-09-06,22.365232000000002,14.765866,1.2198,2723.3,19710.5
2011-09-07,23.012362,15.371345000000002,1.2188,2779.09,20048.0
2011-09-08,22.100498,15.195560999999998,1.2209,2756.11,19912.82
2011-09-14,20.943506,14.062731,1.219,2733.11,19045.44
2011-09-15,20.629744,14.140857,1.2186,2729.05,19181.5
2011-09-16,20.384621,13.652567000000001,1.2206,2733.99,19455.31
2011-09-19,19.266848,13.6721,1.2204,2679.27,18917.95
2011-09-20,19.688461,13.711163,1.2202,2689.85,19014.8
2011-09-21,20.237543,13.730694,1.2212,2771.01,18824.17
2011-09-22,19.521778,12.246295,1.2212,2685.69,17911.95
2011-09-23,18.943282999999997,12.050979,1.2214,2669.48,17668.83
2011-09-26,18.825623999999998,10.742363000000001,1.2181,2610.92,17407.8
2011-09-27,20.541501999999998,12.715053,1.2187,2637.88,18130.55
2011-09-28,19.953201,13.047089,1.2188,2610.59,18011.06
2011-09-30,18.923672,12.871305,1.22,2581.35,17592.41
2011-10-10,17.737267000000003,12.32442,1.2257,2557.08,17711.06
2011-10-11,17.678438,12.304889,1.2204,2551.99,18141.59
2011-10-12,18.237322,12.890835000000001,1.2231,2644.76,18329.46
2011-10-13,19.462948,14.629147,1.2183,2662.6,18757.81
2011-10-14,19.217823000000003,14.394767000000002,1.2191,2653.78,18501.79
2011-10-17,19.266848,14.492425,1.2209999999999999,2666.95,18873.99
2011-10-18,18.237322,13.379125,1.2189,2592.21,18076.46
2011-10-19,19.031527,14.121324,1.2193,2583.08,18309.22
2011-10-20,18.5805,13.496315,1.2186,2520.53,17983.1
2011-10-21,19.031527,13.593972,1.219,2507.88,18025.72
2011-10-24,20.384621,14.551020000000001,1.2197,2576.67,18771.82
2011-10-25,20.786627,15.000244,1.2223,2625.43,18968.2
2011-10-26,20.374817,15.097903,1.2235,2651.65,19066.54
2011-10-27,21.22785,17.402626,1.2213,2657.48,19688.7
2011-10-28,21.316095,17.168247,1.2207,2709.02,20019.24
2011-10-31,22.404453,18.652651000000002,1.2224,2695.31,19864.87
2011-11-01,24.649798999999998,19.629229000000002,1.2228,2697.53,19369.96
2011-11-02,25.31654,18.652651000000002,1.2224,2742.39,19733.71
2011-11-03,24.8459,18.398739000000003,1.2233,2744.3,19242.5
2011-11-04,24.55175,18.515928,1.2252,2763.75,19842.79
2011-11-07,23.885008,18.730776000000002,1.2232,2736.25,19677.89
2011-11-08,23.885008,18.203423,1.2242,2727.71,19678.47
2011-11-09,23.943839999999998,18.340147,1.2261,2751.65,20014.43
2011-11-10,23.335926,16.758087,1.2256,2699.59,18963.89
2011-11-11,22.845676,16.152611,1.2264,2695.0,19137.17
2011-11-14,25.130241,20.361658,1.2244,2750.2,19508.18
2011-11-15,26.963781,20.019861,1.2263,2744.68,19348.44
2011-11-16,25.914645999999998,19.375317000000003,1.2268,2670.12,18960.9
2011-11-17,26.022501000000002,19.18,1.2262,2662.02,18817.47
2011-11-18,24.630188,18.633116,1.2257,2606.5,18491.23
2011-11-21,24.953754,18.047169,1.2245,2609.69,18225.85
2011-11-22,24.904728,18.027637,1.2249,2609.48,18251.59
2011-11-23,24.522335,16.855745000000002,1.2258,2584.01,17864.43
2011-11-24,24.806679000000003,18.222956,1.2247,2588.92,17935.1
2011-11-25,24.02228,17.402626,1.2222,2569.97,17689.48
2011-11-28,24.130135,17.910448000000002,1.2208,2573.32,18037.81
2011-11-29,24.502724,18.281546,1.2216,2608.57,18256.2
2011-11-30,22.894701,17.676071,1.2176,2521.52,17989.35
2011-12-01,23.433977,18.730776000000002,1.2203,2583.61,19002.26
2011-12-02,22.845676,18.53546,1.2215,2557.31,19040.39
2011-12-05,21.600441,18.418272,1.2209999999999999,2521.39,19179.69
2011-12-06,21.845570000000002,17.676071,1.2213,2516.34,18942.23
2011-12-07,22.090691,17.988575,1.2209999999999999,2528.23,19240.58
2011-12-08,22.463283999999998,17.441689999999998,1.2221,2525.0,19107.81
2011-12-09,22.159328,17.344032000000002,1.2228,2503.46,18586.23
2011-12-12,22.590748,17.051057999999998,1.2236,2477.69,18575.66
2011-12-13,21.620051999999998,16.699492000000003,1.222,2421.93,18447.17
