Date,PX_LAST
2/21/92,1.3023
2/24/92,1.3018
2/25/92,1.3016
2/26/92,1.3016
2/27/92,1.3018
2/28/92,1.3015
3/2/92,1.3016
3/3/92,1.3012
3/4/92,1.3013
3/5/92,1.3011
3/6/92,1.3011
3/9/92,1.3
3/10/92,1.2999
3/11/92,1.3
3/12/92,1.2989
3/13/92,1.2987
3/16/92,1.2962
3/17/92,1.2946
3/18/92,1.2957
3/19/92,1.2951
3/20/92,1.296
3/23/92,1.2935
3/24/92,1.2934
3/25/92,1.2925
3/26/92,1.2926
3/27/92,1.2925
3/30/92,1.2911
3/31/92,1.2911
4/1/92,1.291
4/2/92,1.2913
4/3/92,1.2912
4/6/92,1.2834
4/7/92,1.2835
4/8/92,1.2832
4/9/92,1.2826
4/10/92,1.2829
4/13/92,1.2528
4/14/92,1.2527
4/15/92,1.2521
4/16/92,1.2529
4/17/92,1.2538
4/20/92,1.2493
4/21/92,1.2501
4/22/92,1.2498
4/23/92,1.2495
4/24/92,1.2493
4/27/92,1.2418
4/28/92,1.2417
4/29/92,1.2437
4/30/92,1.2446
5/1/92,1.245
5/4/92,1.2449
5/5/92,1.2428
5/6/92,1.2421
5/7/92,1.2416
5/8/92,1.2416
5/11/92,1.2352
5/12/92,1.2356
5/13/92,1.236
5/14/92,1.235
5/15/92,1.235
5/18/92,1.2182
5/19/92,1.2182
5/20/92,1.2181
5/21/92,1.2182
5/22/92,1.218
5/25/92,1.2205
5/26/92,1.2208
5/27/92,1.2206
5/28/92,1.2218
5/29/92,1.2217
6/1/92,1.2206
6/2/92,1.2196
6/3/92,1.2197
6/4/92,1.2196
6/5/92,1.2194
6/8/92,1.2086
6/9/92,1.2087
6/10/92,1.2082
6/11/92,1.2086
6/12/92,1.2086
6/15/92,1.1723
6/16/92,1.1725
6/17/92,1.1724
6/18/92,1.1724
6/19/92,1.1731
6/22/92,1.1761
6/23/92,1.1761
6/24/92,1.1757
6/25/92,1.1757
6/26/92,1.1756
6/29/92,1.1748
6/30/92,1.1747
7/1/92,1.1747
7/2/92,1.1746
7/3/92,1.175
7/6/92,1.1687
7/7/92,1.169
7/8/92,1.169
7/9/92,1.1689
7/10/92,1.1694
7/13/92,1.1673
7/14/92,1.1666
7/15/92,1.1667
7/16/92,1.1668
7/17/92,1.1669
7/20/92,1.1124
7/21/92,1.1124
7/22/92,1.113
7/23/92,1.1135
7/24/92,1.113
7/27/92,1.0826
7/28/92,1.0823
7/29/92,1.0819
7/30/92,1.0821
7/31/92,1.0814
8/3/92,1.0344
8/4/92,1.0345
8/5/92,1.0343
8/6/92,1.0346
8/7/92,1.0345
8/10/92,1.0523
8/11/92,1.052
8/12/92,1.0522
8/13/92,1.0532
8/14/92,1.0523
8/17/92,1.0928
8/18/92,1.0923
8/19/92,1.0926
8/20/92,1.0917
8/21/92,1.0926
8/24/92,1.1075
8/25/92,1.1073
8/26/92,1.1069
8/27/92,1.1075
8/28/92,1.1072
8/31/92,1.1122
9/1/92,1.1122
9/2/92,1.1122
9/3/92,1.1122
9/4/92,1.1124
9/7/92,1.1293
9/8/92,1.1293
9/9/92,1.1293
9/10/92,1.1295
9/11/92,1.1295
9/14/92,1.1285
9/15/92,1.1278
9/16/92,1.1294
9/17/92,1.1284
9/18/92,1.1282
9/21/92,1.1167
9/22/92,1.1174
9/23/92,1.1173
9/24/92,1.1172
9/25/92,1.1173
9/28/92,1.1173
9/29/92,1.1173
9/30/92,1.1165
10/1/92,1.1169
10/2/92,1.1165
10/5/92,1.1126
10/6/92,1.1158
10/7/92,1.1175
10/8/92,1.118
10/9/92,1.1178
10/12/92,1.1132
10/13/92,1.1133
10/14/92,1.1128
10/15/92,1.1126
10/16/92,1.113
10/19/92,1.1126
10/20/92,1.1125
10/21/92,1.1126
10/22/92,1.1115
10/23/92,1.1117
10/26/92,1.1069
10/27/92,1.1068
10/28/92,1.1059
10/29/92,1.1062
10/30/92,1.107
11/2/92,1.1006
11/3/92,1.0996
11/4/92,1.0997
11/5/92,1.1005
11/6/92,1.1008
11/9/92,1.1021
11/10/92,1.1022
11/11/92,1.1014
11/12/92,1.1013
11/13/92,1.1022
11/16/92,1.1022
11/17/92,1.1017
11/18/92,1.1023
11/19/92,1.1021
11/20/92,1.102
11/23/92,1.0901
11/24/92,1.0902
11/25/92,1.0905
11/26/92,1.0899
11/27/92,1.0901
11/30/92,1.077
12/1/92,1.0786
12/2/92,1.0775
12/3/92,1.0771
12/4/92,1.0773
12/7/92,1.0685
12/8/92,1.0676
12/9/92,1.0667
12/10/92,1.0677
12/11/92,1.0674
12/14/92,1.0557
12/15/92,1.0558
12/16/92,1.0564
12/17/92,1.0549
12/18/92,1.0553
12/21/92,1.0508
12/22/92,1.0508
12/23/92,1.0515
12/24/92,1.0514
12/25/92,1.0512
12/28/92,1.0211
12/29/92,1.0215
12/30/92,1.0212
12/31/92,1.0216
1/1/93,1.0216
1/4/93,1.0148
1/5/93,1.0156
1/6/93,1.0148
1/7/93,1.0148
1/8/93,1.0152
1/11/93,0.979
1/12/93,0.9782
1/13/93,0.9779
1/14/93,0.9786
1/15/93,0.9786
1/18/93,0.9621
1/19/93,0.9626
1/20/93,0.9618
1/21/93,0.962
1/22/93,0.9619
1/25/93,0.9619
1/26/93,0.9612
1/27/93,0.9491
1/28/93,0.9492
1/29/93,0.9493
2/1/93,0.9276
2/2/93,0.9276
2/3/93,0.9273
2/4/93,0.9274
2/5/93,0.9273
2/8/93,0.9091
2/9/93,0.9091
2/10/93,0.9094
2/11/93,0.9094
2/12/93,0.9093
2/15/93,0.894
2/16/93,0.8942
2/17/93,0.8938
2/18/93,0.8937
2/19/93,0.8939
2/22/93,0.9415
2/23/93,0.9415
2/24/93,0.9417
2/25/93,0.9416
2/26/93,0.9416
3/1/93,0.9427
3/2/93,0.9428
3/3/93,0.9426
3/4/93,0.9432
3/5/93,0.9426
3/8/93,0.9426
3/9/93,0.9426
3/10/93,0.9431
3/11/93,0.9429
3/12/93,0.943
3/15/93,0.9442
3/16/93,0.9442
3/17/93,0.9442
3/18/93,0.944
3/19/93,0.9438
3/22/93,0.9457
3/23/93,0.9454
3/24/93,0.9454
3/25/93,0.9457
3/26/93,0.9456
3/29/93,0.9487
3/30/93,0.9487
3/31/93,0.9454
4/1/93,0.9456
4/2/93,0.9455
4/5/93,0.9495
4/6/93,0.9495
4/7/93,0.9496
4/8/93,0.9497
4/9/93,0.9497
4/12/93,0.9506
4/13/93,0.9503
4/14/93,0.9503
4/15/93,0.9502
4/16/93,0.9502
4/19/93,0.9502
4/20/93,0.9502
4/21/93,0.9502
4/22/93,0.9502
4/23/93,0.9499
4/26/93,0.9497
4/27/93,0.9499
4/28/93,0.95
4/29/93,0.9502
4/30/93,0.9502
5/3/93,0.9501
5/4/93,0.9502
5/5/93,0.9502
5/6/93,0.9502
5/7/93,0.9501
5/10/93,0.9502
5/11/93,0.9503
5/12/93,0.9504
5/13/93,0.9503
5/14/93,0.9502
5/17/93,0.9502
5/18/93,0.9501
5/19/93,0.9501
5/20/93,0.9502
5/21/93,0.95
5/24/93,0.95
5/25/93,0.9499
