Date,PX_LAST,PX_VOLUME
12/31/04,1000,#N/A N/A
1/4/05,982.79,#N/A N/A
1/5/05,992.56,#N/A N/A
1/6/05,983.17,#N/A N/A
1/7/05,983.96,#N/A N/A
1/10/05,993.88,#N/A N/A
1/11/05,997.14,#N/A N/A
1/12/05,996.75,#N/A N/A
1/13/05,996.88,#N/A N/A
1/14/05,988.31,#N/A N/A
1/17/05,967.45,#N/A N/A
1/18/05,974.69,#N/A N/A
1/19/05,967.21,#N/A N/A
1/20/05,956.25,#N/A N/A
1/21/05,982.6,#N/A N/A
1/24/05,998.13,#N/A N/A
1/25/05,997.78,#N/A N/A
1/26/05,989.93,#N/A N/A
1/27/05,974.63,#N/A N/A
1/28/05,969.21,#N/A N/A
1/31/05,954.88,#N/A N/A
2/1/05,955.95,#N/A N/A
2/2/05,1006.91,#N/A N/A
2/3/05,993.22,#N/A N/A
2/4/05,1016.86,#N/A N/A
2/16/05,1023.58,#N/A N/A
2/17/05,1020.61,#N/A N/A
2/18/05,1006.06,#N/A N/A
2/21/05,1025.63,#N/A N/A
2/22/05,1046.74,#N/A N/A
2/23/05,1043.94,#N/A N/A
2/24/05,1045.46,#N/A N/A
2/25/05,1046.76,#N/A N/A
2/28/05,1039.99,#N/A N/A
3/1/05,1035.93,#N/A N/A
3/2/05,1021.32,#N/A N/A
3/3/05,1027.71,#N/A N/A
3/4/05,1023.67,#N/A N/A
3/7/05,1029.87,#N/A N/A
3/8/05,1048.99,#N/A N/A
3/9/05,1046.54,#N/A N/A
3/10/05,1022.41,#N/A N/A
3/11/05,1027.43,#N/A N/A
3/14/05,1031.03,#N/A N/A
3/15/05,1013.52,#N/A N/A
3/16/05,1003.07,#N/A N/A
3/17/05,992.86,#N/A N/A
3/18/05,978.67,#N/A N/A
3/21/05,981.89,#N/A N/A
3/22/05,964.02,#N/A N/A
3/23/05,959.01,#N/A N/A
3/24/05,964.8,#N/A N/A
3/25/05,962.96,#N/A N/A
3/28/05,960.7,#N/A N/A
3/29/05,955.19,#N/A N/A
3/30/05,937.03,#N/A N/A
3/31/05,942.2,#N/A N/A
4/1/05,978.15,#N/A N/A
4/4/05,962.17,#N/A N/A
4/5/05,955.6,#N/A N/A
4/6/05,973.67,#N/A N/A
4/7/05,984.73,#N/A N/A
4/8/05,1003.45,1472704317
4/11/05,995.42,1588716165
4/12/05,978.7,1020164477
4/13/05,1000.9,1602548170
4/14/05,986.98,1292676183
4/15/05,974.08,1038684689
4/18/05,963.77,859840003
4/19/05,965.89,915526235
4/20/05,950.87,881763201
4/21/05,943.98,989504619
4/22/05,939.1,1065608577
4/25/05,930.07,1144456591
4/26/05,937.08,1165492016
4/27/05,926.6,1075925919
4/28/05,942.07,1430439949
4/29/05,932.4,1119427426
5/9/05,909.17,851088257
5/10/05,913.08,1044266603
5/11/05,901.85,902586072
5/12/05,885.82,1020611131
5/13/05,887.54,1121327517
5/16/05,875.27,819911486
5/17/05,881.46,875274990
5/18/05,883.2,781168768
5/19/05,884.17,812276599
5/20/05,882.76,720933851
5/23/05,863.34,726342065
5/24/05,868.46,919315543
5/25/05,868.45,722167741
5/26/05,857.33,661643545
5/27/05,849.51,773951743
5/30/05,855.61,695906435
5/31/05,855.95,703748083
6/1/05,837.53,787016213
6/2/05,818.38,942747575
6/3/05,818.03,789573893
6/6/05,839,897734974
6/7/05,837.28,1301872547
6/8/05,905.77,3281253959
6/9/05,912.6,3305586023
6/10/05,894.56,2233069516
6/13/05,892.96,1557482419
6/14/05,883.54,1428476887
6/15/05,866.83,1136412025
6/16/05,879.24,1098794444
6/17/05,880.35,1489846955
6/20/05,906.26,1899208220
6/21/05,896.17,1277478404
6/22/05,900.65,1047813411
6/23/05,893.57,950930839
6/24/05,898.3,891873999
6/27/05,916.04,1654540206
6/28/05,903.72,1040221946
6/29/05,898.9,1080674633
6/30/05,878.69,1085547261
7/1/05,859.49,1009459697
7/4/05,855.93,884027653
7/5/05,849.68,789145715
7/6/05,842.56,685885240
7/7/05,844.73,594493516
7/8/05,829.49,718481081
7/11/05,824.1,840537022
7/12/05,851.82,1495278594
7/13/05,846.23,938254170
7/14/05,849.59,934389276
7/15/05,841,887675826
7/18/05,833,849298468
7/19/05,835.61,787605284
7/20/05,842.64,850649586
7/21/05,843.99,835086399
7/22/05,859.69,2156383871
7/25/05,856.86,1177191116
7/26/05,876.48,2169472802
7/27/05,894.01,2032122766
7/28/05,890.89,2062252706
7/29/05,888.16,1440781483
8/1/05,891.61,1180830918
8/2/05,903.6,1429254743
8/3/05,909.57,2578629807
8/4/05,904.15,1484729192
8/5/05,923.8,1953510343
8/8/05,927.47,2160894430
8/9/05,933.09,1975116700
8/10/05,940.37,2151576251
8/11/05,953.99,2710583316
8/12/05,938.32,2967541930
8/15/05,954.5,2354393418
8/16/05,945.06,2386181791
8/17/05,953.01,2199539003
8/18/05,920.67,3659109660
8/19/05,923.04,2224267940
8/22/05,931.67,1792338666
8/23/05,923.41,1529788916
8/24/05,930.65,1589759031
8/25/05,930.12,1622887168
8/26/05,928.26,1539274255
8/29/05,917.37,1542227833
8/30/05,914.88,1240112310
8/31/05,927.92,1458565804
9/1/05,944.56,2225646451
9/2/05,947.87,1856280053
9/5/05,952.72,1781987957
9/6/05,936.61,2118286750
9/7/05,952.76,1951276396
9/8/05,955.28,2227944917
9/9/05,949.07,1618317443
9/12/05,949.51,1182996054
9/13/05,963.77,1654597285
9/14/05,970.19,1991836305
