Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2007-06-26,15.706477,10.572598,1.0258,3928.21,21803.57
2007-06-27,17.279042999999998,10.344823,1.0254,4040.48,21705.56
2007-06-28,17.959848,10.401767,1.0265,3858.52,21938.22
2007-06-29,17.509173999999998,10.667505,1.0270000000000001,3764.08,21772.73
2007-07-03,17.048911999999998,11.236944,1.0288,3832.23,22151.14
2007-07-04,16.444817,11.066113,1.0288,3743.58,22218.55
2007-07-05,16.310574,11.388796000000001,1.0285,3537.44,22252.99
2007-07-06,16.895493,11.31287,1.0283,3710.28,22531.74
2007-07-09,17.240688000000002,11.369813,1.0272,3821.3,22817.43
2007-07-10,16.348927,11.521666,1.0308,3775.62,22885.84
2007-07-11,16.358517000000003,11.198982,1.0335,3789.87,22607.02
2007-07-12,16.348927,11.350833,1.0328,3816.92,22809.02
2007-07-13,16.195507,11.559628,1.0326,3820.12,23099.29
2007-07-16,16.291395,10.933244,1.0336,3697.97,22953.94
2007-07-17,16.463993,10.534636,1.0338,3789.65,23057.3
2007-07-18,17.163979,10.439729,1.034,3807.57,22841.92
2007-07-19,17.068089,10.705467,1.0342,3807.0,23016.2
2007-07-20,17.585886,10.971207000000001,1.0326,3971.88,23291.9
2007-07-23,18.59271,11.161019,1.0338,4156.72,23365.56
2007-07-24,20.050213,11.445739999999999,1.0344,4161.35,23472.88
2007-07-25,20.807728,12.053142,1.0348,4255.46,23362.18
2007-09-11,36.878582,20.404923999999998,1.0349,5124.09,23952.24
2007-09-12,37.108711,20.357471,1.0355,5202.86,24310.14
2007-09-13,37.099121000000004,19.45586,1.0372,5349.97,24537.02
2007-09-14,36.610088,19.123684,1.0362,5397.28,24898.11
2007-09-17,40.273018,18.981325,1.0354,5498.91,24599.34
2007-09-18,41.903118,18.962343,1.0364,5476.84,24576.85
2007-09-19,39.333313000000004,18.981325,1.0361,5419.27,25554.64
2007-09-20,41.040123,18.962343,1.0366,5494.92,25701.13
2007-09-21,38.642921,18.75355,1.0373,5468.1,25843.78
2007-09-24,37.626507000000004,19.171139,1.0352,5513.9,26551.94
2007-09-25,39.620983,20.452377,1.034,5454.62,26430.29
2007-09-27,39.275784,22.397964,1.0323,5427.66,27065.15
2007-09-28,43.207195,23.062309,1.0358,5580.81,27142.47
2007-10-08,47.493396999999995,27.238201,1.0335,5653.14,27770.29
2007-10-09,47.752296,28.424538000000002,1.033,5675.93,28228.04
2007-10-10,49.842655,30.844654,1.0322,5685.76,28569.33
2007-10-11,53.70694399999999,36.633957,1.0328,5760.08,29133.02
2007-10-12,53.054913,33.502041,1.0265,5737.22,28838.37
2007-10-15,53.419284999999995,33.407135,1.0316,5821.45,29540.78
2007-10-16,51.760422,32.315704,1.0322,5877.2,28954.55
2007-10-17,51.971371000000005,33.691853,1.0311,5824.12,29298.71
