Date,Open,High,Low,Close,Adj Close,Volume
1998-08-07,2.739425,2.794214,2.586017,2.706552,2.172716,309480191
1998-08-10,2.695595,2.821608,2.660530,2.673679,2.146327,92047090
1998-08-11,2.662721,2.714223,2.406311,2.421652,1.944010,84900291
1998-08-12,2.410694,2.583826,2.378917,2.536708,2.036372,55798417
1998-08-13,2.533420,2.638614,2.501643,2.529037,2.030213,46465713
1998-08-14,2.509314,2.553144,2.364672,2.397545,1.924657,41095263
1998-08-17,2.355906,2.394258,2.193732,2.255095,1.810304,40476237
1998-08-18,2.246329,2.455621,2.224413,2.454525,1.970399,41900149
1998-08-19,2.443567,2.531229,2.401928,2.476440,1.987992,30871496
1998-08-20,2.476440,2.514792,2.408503,2.453429,1.969519,19141821
1998-08-21,2.451238,2.503835,2.411790,2.465483,1.979196,19286003
1998-08-24,2.452333,2.650668,2.444663,2.530133,2.031094,44089266
1998-08-25,2.432610,2.564102,2.432610,2.544378,2.042530,19303780
1998-08-26,2.550953,2.603550,2.493973,2.516984,2.020539,15370365
1998-08-27,2.503835,2.514792,2.443567,2.450142,1.966880,17454369
1998-08-28,2.422748,2.485207,2.417269,2.452333,1.968640,15831921
1998-08-31,2.443567,2.520271,2.333990,2.485207,1.995029,21884914
1998-09-01,2.465483,2.552049,2.410694,2.463291,1.977436,14220178
1998-09-02,2.443567,2.571772,2.421652,2.539995,2.039011,21697211
1998-09-03,2.532325,2.684637,2.526846,2.651764,2.128735,40240695
1998-09-04,2.662721,2.684637,2.629848,2.629848,2.111141,14082595
1998-09-07,2.640806,2.679158,2.596975,2.679158,2.150725,15178892
1998-09-08,2.690116,2.827087,2.684637,2.728468,2.190310,46145673
1998-09-09,2.728468,3.001314,2.720797,2.978303,2.390868,39774210
1998-09-10,2.991452,3.109796,2.933377,2.947622,2.366238,52343030
1998-09-11,2.936664,3.087880,2.926802,3.029804,2.432211,37262607
1998-09-14,3.015559,3.060486,2.903791,2.923515,2.346886,42764801
1998-09-15,2.909270,3.000219,2.870918,2.902695,2.330173,28884228
1998-09-16,2.907078,3.081306,2.879684,3.079114,2.471795,30011088
1998-09-17,3.098838,3.129520,2.885163,2.938856,2.359202,32716071
