Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2012-10-30,9.213142,9.647173,1.242,2239.88,21428.58
2012-10-31,9.186072,9.914162,1.2425,2254.82,21641.82
2012-11-01,9.321428,9.896361,1.2421,2297.88,21821.87
2012-11-02,9.258262,9.896361,1.2417,2306.77,22111.33
2012-11-05,9.348497,9.896361,1.2409999999999999,2301.88,22006.4
2012-11-06,9.23119,9.825164,1.2409999999999999,2292.21,21944.43
2012-11-07,9.086813000000001,9.878561,1.2413,2287.51,22099.85
2012-11-08,8.798055,9.700569999999999,1.2417,2245.41,21566.91
2012-11-09,8.707818,9.789566,1.2416,2240.92,21384.38
2012-11-12,8.716844,9.825164,1.2442,2251.85,21430.3
2012-11-13,8.626605999999999,9.807364999999999,1.2446,2212.44,21188.65
2012-11-14,8.680749,9.878561,1.245,2223.11,21441.99
2012-11-15,8.671724000000001,9.825164,1.2435,2193.62,21108.93
2012-11-16,8.680749,9.878561,1.2433,2177.24,21159.01
2012-11-19,8.698795,9.842964,1.2434,2174.99,21262.06
2012-11-20,8.626605999999999,9.825164,1.2434,2164.88,21228.28
2012-11-21,8.73489,9.842964,1.244,2194.9,21524.36
2012-11-22,8.626605999999999,9.789566,1.246,2177.55,21743.2
2012-11-23,8.707818,9.825164,1.2444,2192.68,21913.98
2012-11-26,8.76196,10.145551,1.2449,2175.6,21861.81
2012-11-27,8.5093,9.860762,1.2455,2150.64,21844.03
2012-11-28,8.355898,9.896361,1.2452,2129.16,21708.98
2012-11-29,8.355898,9.931958999999999,1.2489,2115.68,21922.89
2012-11-30,8.328825,9.896361,1.2447,2139.66,22030.39
2012-12-03,8.229567,9.967557000000001,1.2443,2108.85,21767.85
2012-12-04,8.211519000000001,10.056554,1.2449,2131.47,21799.97
2012-12-05,8.382968,10.35914,1.2449,2207.88,22270.91
2012-12-06,8.419064,10.376942,1.2443,2203.6,22249.81
2012-12-07,8.554416,10.198948,1.2451,2246.76,22191.17
2012-12-10,8.617582,10.234546,1.242,2271.05,22276.72
2012-12-11,8.527346000000001,10.234546,1.2409999999999999,2258.5,22323.94
2012-12-12,8.500275,10.234546,1.2397,2267.77,22503.35
2012-12-13,8.401014,10.216745,1.2435,2242.64,22445.58
2012-12-14,8.725864999999999,10.270144,1.2408,2355.86,22605.98
2012-12-17,8.752936,10.252345,1.2426,2366.7,22513.61
2012-12-18,8.789031,10.216745,1.2435,2368.12,22494.73
2012-12-19,8.680749,10.287945,1.2438,2371.11,22623.37
2012-12-20,8.599535000000001,10.181149000000001,1.2439,2384.82,22659.78
2012-12-21,8.680749,10.145551,1.244,2372.0,22506.29
2012-12-27,9.240213,10.430339,1.2429,2444.59,22619.78
2012-12-28,9.285332,10.412538,1.2438,2480.05,22666.59
2013-01-04,9.294357000000002,10.35914,1.2441,2524.41,23331.09
2013-01-07,9.402638,10.501536,1.2442,2535.99,23329.75
2013-01-08,9.339475,10.35914,1.2454,2525.33,23111.19
2013-01-09,9.294357000000002,10.252345,1.2451,2526.13,23218.47
2013-01-10,9.321428,10.252345,1.2453,2530.57,23354.31
2013-01-11,9.177049,10.234546,1.2471,2483.23,23264.07
2013-01-14,9.528972,10.16335,1.2463,2577.73,23413.26
2013-01-15,9.790657000000001,10.35914,1.2471,2595.86,23381.51
2013-01-16,9.628231,10.430339,1.2467,2577.09,23356.99
2013-01-17,9.817727,10.750724,1.2473,2552.76,23339.76
2013-01-18,9.880894,10.804121,1.2468,2595.44,23601.78
2013-01-21,10.16965,10.661727,1.2462,2610.9,23590.91
2013-01-22,9.998199000000001,10.572732,1.2465,2596.9,23658.99
2013-01-23,9.907963,10.697326,1.2467,2607.46,23635.1
2013-01-24,9.808705,10.750724,1.2464,2582.76,23598.9
2013-01-25,10.106484,10.643929,1.2462,2571.67,23580.43
2013-01-28,10.160625999999999,10.661727,1.2462,2651.86,23671.88
2013-01-29,10.088438,10.643929,1.246,2675.87,23655.17
2013-01-30,9.998199000000001,10.590529,1.2472,2688.71,23822.06
2013-01-31,9.880894,10.341341,1.247,2686.88,23729.53
2013-02-01,9.926011,10.448136,1.2455,2743.32,23721.84
2013-02-04,9.835774,10.430339,1.244,2748.03,23685.01
2013-02-05,9.989177999999999,10.145551,1.2445,2771.68,23148.53
2013-02-06,9.989177999999999,10.234546,1.2442,2775.84,23256.93
2013-02-07,9.971128,10.198948,1.2442,2759.87,23177.0
2013-02-08,10.133554,10.323542999999999,1.2437,2771.73,23215.16
