Date,PX_LAST,PX_VOLUME
1/2/90,2838.07,#N/A N/A
1/3/90,2858.72,#N/A N/A
1/4/90,2867.95,#N/A N/A
1/5/90,2839.94,#N/A N/A
1/8/90,2816.24,#N/A N/A
1/9/90,2822.16,#N/A N/A
1/10/90,2868,#N/A N/A
1/11/90,2855.52,#N/A N/A
1/12/90,2835.94,#N/A N/A
1/15/90,2786.69,#N/A N/A
1/16/90,2751.79,#N/A N/A
1/17/90,2754.84,#N/A N/A
1/18/90,2771.67,#N/A N/A
1/19/90,2776.29,#N/A N/A
1/22/90,2771.65,#N/A N/A
1/23/90,2762.45,#N/A N/A
1/24/90,2756.39,#N/A N/A
1/25/90,2768.86,#N/A N/A
1/29/90,2768.86,#N/A N/A
1/30/90,2760.8,#N/A N/A
1/31/90,2751.6,#N/A N/A
2/1/90,2738.24,#N/A N/A
2/2/90,2736.55,#N/A N/A
2/5/90,2756.67,#N/A N/A
2/6/90,2792.89,#N/A N/A
2/7/90,2844.89,#N/A N/A
2/8/90,2903.77,#N/A N/A
2/9/90,2893.9,#N/A N/A
2/12/90,2894.66,#N/A N/A
2/13/90,2863.55,#N/A N/A
2/14/90,2870.43,#N/A N/A
2/15/90,2910.04,#N/A N/A
2/16/90,2939.25,#N/A N/A
2/19/90,2968,#N/A N/A
2/20/90,2980.9,#N/A N/A
2/21/90,2862.27,#N/A N/A
2/22/90,2927.92,#N/A N/A
2/23/90,2894.31,#N/A N/A
2/26/90,2872.63,#N/A N/A
2/27/90,2932.62,#N/A N/A
2/28/90,2951.98,#N/A N/A
3/1/90,2933.13,#N/A N/A
3/2/90,2937.93,#N/A N/A
3/5/90,2938.68,#N/A N/A
3/6/90,2933.23,#N/A N/A
3/7/90,2926.45,#N/A N/A
3/8/90,2915.73,#N/A N/A
3/9/90,2912.67,#N/A N/A
3/12/90,2892.98,#N/A N/A
3/13/90,2887.62,#N/A N/A
3/14/90,2881.23,#N/A N/A
3/15/90,2892.81,#N/A N/A
3/16/90,2886.46,#N/A N/A
3/19/90,2871.39,#N/A N/A
3/20/90,2880.03,#N/A N/A
3/21/90,2926.92,#N/A N/A
3/22/90,2948.67,#N/A N/A
3/23/90,2974.16,#N/A N/A
3/26/90,3014.02,#N/A N/A
3/27/90,3010.85,#N/A N/A
3/28/90,2990.7,#N/A N/A
3/29/90,3000.52,#N/A N/A
3/30/90,2997.98,#N/A N/A
4/2/90,2934.7,#N/A N/A
4/3/90,2962.45,#N/A N/A
4/4/90,2960.88,#N/A N/A
4/6/90,2956.12,#N/A N/A
4/9/90,2954.74,#N/A N/A
4/10/90,2942.33,#N/A N/A
4/11/90,2959.98,#N/A N/A
4/12/90,2995.69,#N/A N/A
4/17/90,3020.44,#N/A N/A
4/18/90,3052.35,#N/A N/A
4/19/90,3067.67,#N/A N/A
4/20/90,3067.3,#N/A N/A
4/23/90,3056.86,#N/A N/A
4/24/90,3015.84,#N/A N/A
4/25/90,3018.58,#N/A N/A
4/26/90,3009.34,#N/A N/A
4/27/90,2986.33,#N/A N/A
4/30/90,2950.09,#N/A N/A
5/1/90,2945.18,#N/A N/A
5/2/90,2957.76,#N/A N/A
5/3/90,2954.61,#N/A N/A
5/4/90,2946.97,#N/A N/A
5/7/90,2958.91,#N/A N/A
5/8/90,2953.58,#N/A N/A
5/9/90,2942.27,#N/A N/A
5/10/90,2985.42,#N/A N/A
5/11/90,2960.46,#N/A N/A
5/14/90,2976.44,#N/A N/A
5/15/90,2965.09,#N/A N/A
5/16/90,2948.89,#N/A N/A
5/17/90,2917.63,#N/A N/A
5/18/90,2925.89,#N/A N/A
5/21/90,2930.83,#N/A N/A
5/22/90,2970.87,#N/A N/A
5/23/90,3028.31,#N/A N/A
5/24/90,3048.01,#N/A N/A
5/25/90,3059.5,#N/A N/A
5/29/90,3048.55,#N/A N/A
5/30/90,3083.35,#N/A N/A
5/31/90,3132.32,#N/A N/A
6/1/90,3159.17,#N/A N/A
6/4/90,3153.22,#N/A N/A
6/5/90,3159.06,#N/A N/A
6/6/90,3172.49,#N/A N/A
6/7/90,3145.3,#N/A N/A
6/8/90,3174.33,#N/A N/A
6/11/90,3154.99,#N/A N/A
6/12/90,3203,#N/A N/A
6/13/90,3185.14,#N/A N/A
6/14/90,3191.55,#N/A N/A
6/15/90,3201.52,#N/A N/A
6/19/90,3229.02,#N/A N/A
6/20/90,3234.39,#N/A N/A
6/21/90,3246.21,#N/A N/A
6/22/90,3250.44,#N/A N/A
6/25/90,3276.44,#N/A N/A
6/26/90,3292.35,#N/A N/A
6/27/90,3284.47,#N/A N/A
6/28/90,3273.28,#N/A N/A
6/29/90,3278.24,#N/A N/A
7/2/90,3319.47,#N/A N/A
7/3/90,3356.55,#N/A N/A
7/4/90,3363.49,#N/A N/A
7/5/90,3356.44,#N/A N/A
7/6/90,3357.61,#N/A N/A
7/9/90,3385.15,#N/A N/A
7/10/90,3408.16,#N/A N/A
7/11/90,3440.93,#N/A N/A
7/12/90,3468.59,#N/A N/A
7/13/90,3507.16,#N/A N/A
7/16/90,3488.85,#N/A N/A
7/17/90,3463.94,#N/A N/A
7/18/90,3528.29,#N/A N/A
7/19/90,3523.58,#N/A N/A
7/20/90,3540.43,#N/A N/A
7/23/90,3559.89,#N/A N/A
7/24/90,3495.87,#N/A N/A
7/25/90,3520.54,#N/A N/A
7/26/90,3483.59,#N/A N/A
7/27/90,3485.8,#N/A N/A
7/30/90,3445.41,#N/A N/A
7/31/90,3438.49,#N/A N/A
8/1/90,3468.64,#N/A N/A
8/2/90,3415.18,#N/A N/A
8/3/90,3356.95,#N/A N/A
8/6/90,3107.98,#N/A N/A
8/7/90,3098.69,#N/A N/A
8/8/90,3145.57,#N/A N/A
8/9/90,3091.12,#N/A N/A
8/10/90,3078.97,#N/A N/A
8/13/90,3040.28,#N/A N/A
8/14/90,3067.53,#N/A N/A
8/15/90,3178.27,#N/A N/A
8/16/90,3183.29,#N/A N/A
8/17/90,3122.64,#N/A N/A
8/20/90,3052.84,#N/A N/A
8/21/90,3040,#N/A N/A
8/22/90,2954.93,#N/A N/A
8/23/90,2871.41,#N/A N/A
8/24/90,2918.01,#N/A N/A
8/28/90,3078.94,#N/A N/A
8/29/90,3015.95,#N/A N/A
8/30/90,3064.19,#N/A N/A
8/31/90,3087.5,#N/A N/A
9/3/90,3066.81,#N/A N/A
9/4/90,3054.16,#N/A N/A
9/5/90,3039.69,#N/A N/A
9/6/90,3032.85,#N/A N/A
9/7/90,3047.91,#N/A N/A
9/10/90,3087.74,#N/A N/A
9/11/90,3083.57,#N/A N/A
9/12/90,3105.04,#N/A N/A
9/13/90,3093.97,#N/A N/A
9/14/90,3062.04,#N/A N/A
9/17/90,3019.87,#N/A N/A
9/18/90,2996.66,#N/A N/A
9/19/90,2980.95,#N/A N/A
9/20/90,2984.54,#N/A N/A
9/21/90,2931.86,#N/A N/A
9/24/90,2861.77,#N/A N/A
9/25/90,2807.5,#N/A N/A
9/26/90,2778.74,#N/A N/A
9/27/90,2767.95,#N/A N/A
9/28/90,2760.82,#N/A N/A
10/1/90,2791.26,#N/A N/A
10/2/90,2905.48,#N/A N/A
10/3/90,2862.55,#N/A N/A
10/5/90,2850.45,#N/A N/A
10/8/90,2925.48,#N/A N/A
10/9/90,2913.52,#N/A N/A
10/10/90,2872.41,#N/A N/A
10/11/90,2884.41,#N/A N/A
10/12/90,2915.26,#N/A N/A
10/15/90,2916.38,#N/A N/A
10/16/90,2949.57,#N/A N/A
10/17/90,2958.54,#N/A N/A
10/18/90,2950.52,#N/A N/A
10/19/90,2991.95,#N/A N/A
10/22/90,3015.56,#N/A N/A
10/23/90,3081.23,#N/A N/A
10/24/90,3042.08,#N/A N/A
10/25/90,3050.88,#N/A N/A
10/29/90,3063.53,#N/A N/A
10/30/90,3011.65,#N/A N/A
10/31/90,2990.96,#N/A N/A
11/1/90,2968.74,#N/A N/A
11/2/90,2978.92,#N/A N/A
11/5/90,2967.24,#N/A N/A
11/6/90,2966.71,#N/A N/A
11/7/90,2955.19,#N/A N/A
11/8/90,2932.44,#N/A N/A
11/9/90,2932.92,#N/A N/A
11/12/90,2949.56,#N/A N/A
11/13/90,2998.97,#N/A N/A
11/14/90,3006.82,#N/A N/A
11/15/90,2990.47,#N/A N/A
11/16/90,3008.66,#N/A N/A
11/19/90,3042.58,#N/A N/A
11/20/90,3031.92,#N/A N/A
11/21/90,3013.66,#N/A N/A
11/22/90,3023.08,#N/A N/A
11/23/90,3016.06,#N/A N/A
11/26/90,2995.52,#N/A N/A
