Date,Open,High,Low,Close,Adj Close,Volume
2001-12-06,5.115384,5.411538,5.115384,5.246153,2.850833,320939075
2001-12-07,5.230769,5.261538,5.011538,5.042307,2.740060,55189394
2001-12-10,5.007692,5.107692,4.907692,5.069230,2.754691,29000683
2001-12-11,5.038461,5.115384,4.980769,4.984615,2.708710,14700816
2001-12-12,4.961538,5.280769,4.950000,5.176923,2.813213,49104049
2001-12-13,5.165384,5.226923,5.107692,5.146153,2.796492,14871100
2001-12-14,5.123076,5.223076,5.107692,5.119230,2.781861,9329112
2001-12-17,5.153846,5.211538,5.115384,5.119230,2.781861,7632427
2001-12-18,5.115384,5.146153,4.961538,5.065384,2.752601,19223250
2001-12-19,5.065384,5.092307,4.973076,4.996153,2.714980,8496051
2001-12-20,4.961538,4.969230,4.780769,4.807692,2.612568,19358970
2001-12-21,4.769230,4.838461,4.723076,4.819230,2.618837,8016873
2001-12-24,4.769230,4.807692,4.653846,4.719230,2.564496,11789156
2001-12-25,4.723076,4.830769,4.688461,4.773076,2.593756,8714238
2001-12-26,4.734615,4.907692,4.730769,4.807692,2.612568,9273487
2001-12-27,4.838461,4.892307,4.792307,4.807692,2.612568,9674449
2001-12-28,4.807692,4.838461,4.742307,4.815384,2.616747,5571410
2001-12-31,4.830769,4.900000,4.815384,4.834615,2.627198,5485997
2002-01-01,null,null,null,null,null,null
2002-01-02,null,null,null,null,null,null
2002-01-03,null,null,null,null,null,null
2002-01-04,4.834615,4.834615,4.673076,4.700000,2.554046,4997694
2002-01-07,4.692307,4.730769,4.646153,4.715384,2.562406,3453450
2002-01-08,4.715384,4.757692,4.669230,4.673076,2.539415,2710497
2002-01-09,4.657692,4.688461,4.538461,4.576923,2.487164,5373542
2002-01-10,4.538461,4.688461,4.423076,4.653846,2.528965,8615716
2002-01-11,4.634615,4.638461,4.426923,4.430769,2.407743,7121628
2002-01-14,4.384615,4.426923,4.303846,4.338461,2.357581,7186449
2002-01-15,4.300000,4.534615,4.296153,4.369230,2.374301,8903666
2002-01-16,4.369230,4.503846,4.300000,4.457692,2.422373,7358728
2002-01-17,4.438461,4.469230,4.338461,4.361538,2.370121,6652490
2002-01-18,4.326923,4.611538,4.300000,4.461538,2.424463,14755418
2002-01-21,4.500000,4.553846,4.411538,4.480769,2.434913,8171485
2002-01-22,4.461538,4.611538,4.442307,4.526923,2.459994,8224829
2002-01-23,4.561538,4.846153,4.500000,4.803846,2.610478,16534432
2002-01-24,4.803846,4.942307,4.623076,4.819230,2.618837,25138549
2002-01-25,4.811538,4.838461,4.753846,4.769230,2.591666,8177156
2002-01-28,4.730769,4.765384,4.415384,4.423076,2.403562,14472666
2002-01-29,4.307692,4.576923,4.307692,4.557692,2.476714,7008773
2002-01-30,4.538461,4.600000,4.496153,4.515384,2.453724,4244526
2002-01-31,4.576923,4.923076,4.576923,4.776923,2.595847,20603819
2002-02-01,4.800000,4.850000,4.730769,4.742307,2.577037,8683924
2002-02-04,4.800000,4.953846,4.761538,4.896153,2.660639,12409007
2002-02-05,4.888461,4.919230,4.850000,4.888461,2.656458,6816700
2002-02-06,4.896153,4.903846,4.769230,4.788461,2.602117,6186684
2002-02-07,4.788461,4.961538,4.788461,4.884615,2.654369,11143215
2002-02-08,4.923076,4.992307,4.903846,4.903846,2.664819,8422840
2002-02-11,null,null,null,null,null,null
2002-02-12,null,null,null,null,null,null
2002-02-13,null,null,null,null,null,null
2002-02-14,null,null,null,null,null,null
2002-02-15,null,null,null,null,null,null
2002-02-18,null,null,null,null,null,null
2002-02-19,null,null,null,null,null,null
2002-02-20,null,null,null,null,null,null
2002-02-21,null,null,null,null,null,null
2002-02-22,null,null,null,null,null,null
2002-02-25,5.030769,5.076923,4.923076,4.976923,2.704530,12947409
2002-02-26,4.969230,4.992307,4.907692,4.969230,2.700350,5720631
2002-02-27,4.961538,5.057692,4.953846,4.988461,2.710800,4590040
2002-02-28,4.992307,5.057692,4.961538,5.011538,2.723340,6650732
2002-03-01,4.969230,4.973076,4.842307,4.850000,2.635558,7275057
2002-03-04,4.807692,4.980769,4.800000,4.973076,2.702439,5463946
2002-03-05,4.961538,5.092307,4.961538,5.030769,2.733791,14029750
2002-03-06,5.042307,5.130769,5.007692,5.023076,2.729610,12436751
2002-03-07,5.038461,5.146153,5.030769,5.138461,2.792312,12087223
2002-03-08,5.153846,5.215384,5.076923,5.146153,2.796492,14992377
