Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2004-12-31,3.261202,2.96846,0.9391,1000.0,14230.14
2005-01-04,3.1219490000000003,2.94287,0.9407,982.79,14045.9
2005-01-05,3.081522,2.8149189999999997,0.941,992.56,13764.36
2005-01-06,3.0366020000000002,2.8661,0.9418,983.17,13712.04
2005-01-07,3.045585,2.8661,0.9411,983.96,13574.86
2005-01-10,3.018634,2.8661,0.9419,993.88,13531.39
2005-01-11,3.054569,2.8405099999999996,0.9419,997.14,13509.25
2005-01-12,3.077029,2.8149189999999997,0.9418,996.75,13565.31
2005-01-13,3.0410939999999997,2.789329,0.9414,996.88,13573.28
2005-01-14,3.023125,2.712559,0.9417,988.31,13494.78
2005-01-17,2.874889,2.738149,0.9421,967.45,13621.65
2005-01-18,2.969221,2.7637389999999997,0.9423,974.69,13604.22
2005-01-19,2.960237,2.738149,0.9423,967.21,13678.63
2005-01-20,2.978205,2.738149,0.9423,956.25,13543.59
2005-01-21,3.112966,2.738149,0.9422,982.6,13481.02
2005-01-24,3.148901,2.738149,0.9423,998.13,13386.99
2005-01-25,3.153394,2.712559,0.9423,997.78,13584.06
2005-01-26,3.0366020000000002,2.738149,0.9420000000000001,989.93,13623.68
2005-01-27,3.0635529999999997,2.7637389999999997,0.9423,974.63,13628.91
2005-01-28,3.000665,2.789329,0.9424,969.21,13650.06
2005-01-31,3.068045,2.789329,0.9424,954.88,13721.69
2005-02-01,3.0994900000000003,2.7637389999999997,0.9424,955.95,13578.26
2005-02-02,3.2297580000000004,2.789329,0.9424,1006.91,13555.8
2005-02-03,3.171362,2.8661,0.9424,993.22,13515.33
2005-02-04,3.193822,2.8661,0.9424,1016.86,13585.17
2005-02-16,3.292646,2.94287,0.9420000000000001,1023.58,14015.49
2005-02-17,3.288154,2.8661,0.9424,1020.61,13967.82
2005-02-18,3.193822,2.91728,0.9424,1006.06,14087.87
2005-02-21,3.2297580000000004,2.94287,0.9424,1025.63,14111.65
2005-02-22,3.243234,2.94287,0.9424,1046.74,14090.52
2005-02-23,3.1668689999999997,2.94287,0.9424,1043.94,13957.94
2005-02-24,3.162377,2.99405,0.9424,1045.46,14060.91
2005-02-25,3.18933,3.0452310000000002,0.9424,1046.76,14157.09
2005-02-28,3.234249,3.0964110000000002,0.9423,1039.99,14195.35
2005-03-01,3.193822,3.070821,0.9424,1035.93,14061.15
2005-03-02,3.2746779999999998,3.019641,0.9424,1021.32,13850.78
2005-03-03,3.333074,3.019641,0.9424,1027.71,13892.37
2005-03-04,3.4094379999999997,3.019641,0.9423,1023.67,13730.78
2005-03-07,3.36901,3.019641,0.9424,1029.87,13771.95
2005-03-08,3.503771,3.0964110000000002,0.9424,1048.99,13881.71
2005-03-09,3.503771,3.147591,0.9424,1046.54,13941.47
2005-03-10,3.418422,3.0964110000000002,0.9420000000000001,1022.41,13856.02
2005-03-11,3.422914,3.0964110000000002,0.9423,1027.43,13890.93
2005-03-14,3.41393,3.0964110000000002,0.9424,1031.03,13906.85
2005-03-15,3.2701860000000003,3.019641,0.9424,1013.52,13816.75
2005-03-16,3.162377,3.0452310000000002,0.9424,1003.07,13832.52
2005-03-17,3.153394,3.0452310000000002,0.9424,992.86,13817.99
2005-03-18,3.148901,3.0452310000000002,0.9423,978.67,13828.37
2005-03-21,3.130934,3.0452310000000002,0.9423,981.89,13834.35
2005-03-22,3.005157,2.94287,0.9424,964.02,13776.47
2005-03-23,2.964729,2.91728,0.9424,959.01,13603.61
2005-03-24,2.919809,2.89169,0.9424,964.8,13597.1
2005-03-29,3.027617,2.91728,0.9424,955.19,13411.88
2005-03-30,3.090505,2.91728,0.9423,937.03,13425.75
2005-03-31,3.175853,2.94287,0.9423,942.2,13516.88
2005-04-01,3.207297,2.96846,0.9423,978.15,13491.35
2005-04-04,3.265694,2.99405,0.9423,962.17,13513.41
2005-04-06,3.3061230000000004,3.0452310000000002,0.9424,973.67,13562.26
2005-04-07,3.238742,3.071943,0.9423,984.73,13602.35
2005-04-08,3.292646,3.152081,0.9423,1003.45,13666.72
2005-04-11,3.364518,3.178794,0.9423,995.42,13659.93
2005-04-12,3.2791699999999997,3.205507,0.9423,978.7,13658.05
2005-04-13,3.3510419999999996,3.205507,0.9423,1000.9,13799.62
2005-04-14,3.3061230000000004,3.125368,0.9423,986.98,13772.4
2005-04-15,3.2701860000000003,3.098656,0.9422,974.08,13638.75
2005-04-18,3.068045,2.991806,0.9423,963.77,13355.23
2005-04-19,3.0994900000000003,3.0452310000000002,0.9423,965.89,13444.09
2005-04-20,3.1219490000000003,3.0452310000000002,0.9424,950.87,13501.63
2005-04-21,3.126442,3.071943,0.9424,943.98,13597.31
2005-04-22,3.171362,3.071943,0.9418,939.1,13693.55
2005-04-25,3.216282,3.125368,0.9420000000000001,930.07,13750.23
2005-04-26,3.283662,3.152081,0.9422,937.08,13859.58
2005-04-27,3.2746779999999998,3.125368,0.9423,926.6,13839.64
2005-04-28,3.292646,3.178794,0.9423,942.07,13909.42
2005-04-29,3.243234,3.178794,0.9417,932.4,13908.97
2005-05-09,3.25671,3.125368,0.9420000000000001,909.17,14085.09
2005-05-10,3.18933,3.098656,0.9423,913.08,14018.38
2005-05-12,3.032109,3.0452310000000002,0.9423,885.82,13968.28
2005-05-13,3.0410939999999997,3.018518,0.9422,887.54,13866.81
2005-05-17,2.897349,2.9650939999999997,0.9424,881.46,13667.03
2005-05-18,2.879381,3.018518,0.9415,883.2,13627.01
2005-05-19,2.937777,2.991806,0.9412,884.17,13698.93
2005-05-20,2.978205,3.018518,0.9414,882.76,13717.42
2005-05-23,2.910825,2.991806,0.9411,863.34,13699.13
2005-05-24,2.7625889999999997,2.991806,0.9396,868.46,13719.32
2005-05-25,2.717668,2.9650939999999997,0.94,868.45,13562.06
2005-05-26,2.695208,2.9650939999999997,0.94,857.33,13569.99
2005-05-27,2.7446200000000003,2.9650939999999997,0.9398,849.51,13714.78
2005-05-30,2.749112,2.9650939999999997,0.9399,855.61,13845.1
2005-05-31,2.695208,2.9650939999999997,0.94,855.95,13867.07
2005-06-01,2.641304,2.93838,0.94,837.53,13873.07
2005-06-02,2.578415,2.9650939999999997,0.9403,818.38,13814.58
2005-06-03,2.582907,2.9650939999999997,0.9404,818.03,13818.45
2005-06-06,2.686224,2.991806,0.9402,839.0,13860.55
2005-06-07,2.672748,3.018518,0.9402,837.28,13837.29
2005-06-08,2.865905,3.0452310000000002,0.9401,905.77,13898.55
2005-06-09,2.874889,3.018518,0.94,912.6,13898.31
2005-06-10,2.7850479999999997,3.071943,0.9399,894.56,13934.76
2005-06-13,2.76708,3.0452310000000002,0.9395,892.96,13952.02
2005-06-14,2.843444,3.0452310000000002,0.9393,883.54,13904.81
2005-06-15,2.8254759999999997,3.018518,0.9393,866.83,13914.3
2005-06-16,2.90184,3.0452310000000002,0.9394,879.24,13833.53
2005-06-17,2.946761,3.0452310000000002,0.9394,880.35,13912.03
2005-06-20,3.0366020000000002,3.0452310000000002,0.9394,906.26,13945.77
2005-06-21,2.942269,2.991806,0.9389,896.17,13979.35
2005-06-22,2.937598,3.0452310000000002,0.9386,900.65,14161.02
2005-06-23,2.928258,3.071943,0.9390000000000001,893.57,14190.44
