Date,Open,High,Low,Close,Adj Close,Volume
2006-10-27,3.341129,3.380436,3.203553,3.223207,1.823879,2628043909
2006-10-30,3.213380,3.262514,3.193726,3.233033,1.829439,358121850
2006-10-31,3.223207,3.272341,3.223207,3.242860,1.835000,234181010
2006-11-01,3.242860,3.252687,3.223207,3.242860,1.835000,135233965
2006-11-02,3.242860,3.242860,3.193726,3.223207,1.823879,178241665
2006-11-03,3.213380,3.311648,3.213380,3.301821,1.868363,407064414
2006-11-06,3.272341,3.321475,3.262514,3.321475,1.879485,213693891
2006-11-07,3.321475,3.370609,3.311648,3.341129,1.890606,302021935
2006-11-08,3.341129,3.341129,3.291995,3.301821,1.868363,154497814
2006-11-09,3.301821,3.341129,3.291995,3.341129,1.890606,181083651
2006-11-10,3.341129,3.459051,3.341129,3.400090,1.923970,773075959
2006-11-13,3.390263,3.527839,3.380436,3.459051,1.957333,471539820
2006-11-14,3.518012,3.557320,3.468878,3.537666,2.001819,439522035
2006-11-15,3.547493,3.586800,3.537666,3.586800,2.029621,350677614
2006-11-16,3.635934,3.861952,3.606454,3.734203,2.113031,699830075
2006-11-17,3.724376,3.783337,3.675242,3.734203,2.113031,320389208
2006-11-20,3.734203,3.852125,3.734203,3.852125,2.179758,323653445
2006-11-21,3.842298,3.891432,3.793164,3.861952,2.185318,237166633
2006-11-22,3.842298,3.881606,3.744030,3.832471,2.168636,288451587
2006-11-23,3.852125,3.940567,3.852125,3.901259,2.207561,308281415
2006-11-24,3.852125,3.871779,3.793164,3.852125,2.179758,192561522
2006-11-27,3.822644,3.832471,3.694895,3.744030,2.118591,305761876
2006-11-28,3.714549,3.744030,3.645761,3.685069,2.085227,246708049
2006-11-29,3.606454,3.734203,3.586800,3.724376,2.107470,248615910
2006-11-30,3.734203,3.763683,3.704722,3.744030,2.118591,235913920
2006-12-01,3.763683,3.763683,3.675242,3.694895,2.090788,279034906
2006-12-04,3.694895,3.901259,3.655588,3.842298,2.174197,417930355
2006-12-05,3.842298,3.911086,3.793164,3.812818,2.157516,270916476
2006-12-06,3.812818,3.842298,3.694895,3.773510,2.135273,268127325
2006-12-07,3.773510,3.881606,3.744030,3.783337,2.140833,342809716
2006-12-08,3.763683,3.901259,3.744030,3.802991,2.151955,393685435
2006-12-11,3.793164,4.019182,3.783337,4.009355,2.268728,466656561
2006-12-12,4.029008,4.255026,4.009355,4.235372,2.396621,552661331
2006-12-13,4.255026,4.313987,4.137104,4.215719,2.385500,304327501
2006-12-14,4.215719,4.225545,4.127277,4.196065,2.374379,188099515
2006-12-15,4.215719,4.264853,4.186238,4.245199,2.402182,176361165
