Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2006-10-27,1.823879,1.888734,0.9855,1439.05,18297.55
2006-10-31,1.835,1.867272,0.9872,1464.47,18324.35
2006-11-01,1.835,1.8726369999999999,0.9879,1479.41,18453.65
2006-11-02,1.823879,1.8780029999999999,0.9877,1479.66,18714.78
2006-11-03,1.868363,1.920929,0.988,1488.29,18749.69
2006-11-06,1.8794849999999999,1.942392,0.9874,1507.89,18936.55
2006-11-07,1.8906060000000002,1.937026,0.9885,1516.1,18939.31
2006-11-08,1.868363,1.910198,0.9895,1498.17,18811.24
2006-11-09,1.8906060000000002,1.947758,0.9895,1524.71,18952.86
2006-11-10,1.9239700000000002,1.958489,0.9895,1504.06,18891.14
2006-11-13,1.9573330000000002,2.0228770000000003,0.9895,1475.78,18868.54
2006-11-14,2.001819,2.076535,0.9895,1493.78,18878.42
2006-11-15,2.029621,2.146289,0.9895,1534.76,19093.0
2006-11-16,2.1130310000000003,2.162386,0.9891,1533.29,19154.07
2006-11-17,2.1130310000000003,2.151655,0.9892,1562.08,19182.71
2006-11-20,2.179758,2.151655,0.9889,1593.16,18954.63
2006-11-21,2.185318,2.151655,0.9892,1612.25,19008.3
2006-11-22,2.1686360000000002,2.2160439999999997,0.9898,1624.03,19250.79
2006-11-23,2.207561,2.2053130000000003,0.9899,1634.91,19265.32
2006-11-24,2.179758,2.1892150000000004,0.9908,1636.58,19260.3
2006-11-27,2.118591,2.1301930000000002,0.9915,1651.8,19204.01
2006-11-28,2.085227,2.017512,0.9918,1644.01,18639.53
2006-11-29,2.10747,2.097998,0.9929,1667.14,18780.93
2006-11-30,2.118591,2.1087290000000003,0.993,1714.36,18960.48
2006-12-01,2.0907880000000003,2.0872669999999998,0.9924,1729.22,18690.82
2006-12-04,2.174197,2.0872669999999998,0.9931,1780.74,18702.73
2006-12-05,2.1575159999999998,2.1194610000000003,0.9934,1794.23,18944.19
2006-12-06,2.1352729999999998,2.135558,0.9931,1779.41,19026.36
2006-12-07,2.140833,2.162386,0.993,1775.71,18842.99
2006-12-08,2.151955,2.157021,0.9934,1711.58,18739.99
2006-12-11,2.268728,2.2106779999999997,0.9923,1789.92,18924.66
2006-12-12,2.396621,2.226775,0.9925,1802.79,18907.17
2006-12-13,2.3855,2.2214099999999997,0.9929,1803.86,18718.19
2006-12-14,2.3743790000000002,2.242873,0.9939,1836.14,18919.4
2006-12-15,2.402182,2.226775,0.9928,1867.64,19110.65
2006-12-18,2.5356360000000002,2.2911639999999998,0.9941,1916.11,19192.91
2006-12-19,2.6301669999999997,2.307261,0.9941,1921.44,18964.55
2006-12-20,2.607924,2.360918,0.995,1936.55,19240.12
2006-12-21,2.585682,2.360918,0.9948,1908.99,19222.84
2006-12-22,2.635727,2.360918,0.9951,1895.64,19320.52
2006-12-27,3.158424,2.67213,0.9942,1982.88,19725.73
2006-12-28,3.252954,2.645302,0.9948,1979.93,20001.91
2006-12-29,3.447576,2.602376,0.9965,2041.05,19964.72
2007-01-04,3.3641669999999997,2.645302,0.9974,2067.09,20025.58
2007-01-05,3.0305299999999997,2.650668,0.9983,2072.88,20211.28
2007-01-08,3.0805759999999998,2.55945,0.9972,2131.56,20029.66
2007-01-09,3.2140299999999997,2.511159,0.9991,2200.09,19898.08
2007-01-10,3.163985,2.48433,0.9989,2255.97,19568.34
2007-01-11,3.063894,2.44677,1.0004,2231.63,19385.37
2007-01-12,2.963804,2.473599,1.0001,2173.75,19613.41
2007-01-15,3.097257,2.532622,1.0009,2287.34,20068.56
2007-01-16,3.069454,2.5433529999999998,1.0015,2353.87,20027.95
2007-01-17,3.02497,2.500428,1.0039,2308.93,20064.57
2007-01-18,2.919318,2.473599,1.0051,2317.09,20277.51
2007-01-19,2.952682,2.468234,1.0044,2396.09,20327.72
2007-01-22,3.047213,2.478964,1.0035,2491.31,20772.22
2007-01-23,3.1306220000000002,2.48433,1.0028,2508.13,20769.7
2007-01-24,3.075015,2.511159,1.004,2536.43,20821.05
2007-01-25,2.936,2.505793,1.0047,2452.83,20669.83
2007-01-26,2.924878,2.468234,1.0046,2512.92,20281.13
2007-01-29,2.958242,2.452136,1.0049,2576.92,20236.68
2007-01-30,2.874833,2.452136,1.0045,2551.88,20460.46
2007-01-31,2.785864,2.436038,1.0045,2385.34,20106.42
2007-02-01,2.780303,2.393112,1.006,2395.17,20430.16
2007-02-02,2.680212,2.425307,1.0067,2298.0,20563.68
2007-02-05,2.607924,2.441405,1.006,2271.8,20455.62
2007-02-06,2.719136,2.44677,1.0070000000000001,2316.04,20655.2
2007-02-07,2.719136,2.500428,1.0084,2369.79,20679.69
2007-02-08,2.691333,2.52189,1.0087,2410.6,20735.05
2007-02-09,2.6635299999999997,2.511159,1.0088,2397.25,20677.66
2007-02-12,2.7413790000000002,2.516524,1.0073,2485.39,20593.41
2007-02-13,2.730258,2.468234,1.0062,2522.63,20132.25
2007-02-14,2.8025450000000003,2.468234,1.0072,2588.35,20209.91
2007-02-15,2.874833,2.478964,1.0069,2668.63,20538.42
2007-02-16,2.858152,2.495062,1.0089,2676.74,20567.91
2007-02-26,2.835909,2.419941,1.0076,2707.68,20507.95
2007-02-27,2.607924,2.377016,1.0095,2457.49,20147.87
2007-02-28,2.724697,2.312627,1.0091,2544.57,19651.51
2007-03-01,2.6412880000000003,2.248239,1.0091,2473.54,19346.6
2007-03-02,2.669091,2.242873,1.0088,2508.73,19442.01
2007-03-05,2.607924,2.146289,1.0087,2475.61,18664.88
2007-03-06,2.7135759999999998,2.253604,1.0090000000000001,2520.29,19058.56
2007-03-07,2.730258,2.280432,1.0097,2589.44,18918.64
2007-03-08,2.735818,2.360918,1.0085,2627.63,19175.17
2007-03-09,2.808106,2.366284,1.0091,2611.39,19134.88
2007-03-12,2.84147,2.37165,1.0081,2616.17,19442.42
2007-03-13,2.8025450000000003,2.339456,1.0099,2640.17,19333.14
2007-03-14,2.735818,2.269701,1.0098,2597.36,18836.93
2007-03-15,2.7525009999999996,2.280432,1.0087,2645.55,18969.44
2007-03-16,2.7525009999999996,2.275067,1.0103,2604.23,18953.5
2007-03-19,2.880394,2.301895,1.0098,2659.41,19266.74
2007-03-20,2.8692729999999997,2.307261,1.0097,2672.77,19356.9
2007-03-22,2.885955,2.360918,1.0096,2711.32,19690.25
2007-03-23,2.863713,2.355553,1.0103,2716.27,19692.64
2007-03-26,2.885955,2.355553,1.01,2764.03,19765.85
2007-03-27,2.8692729999999997,2.344822,1.01,2784.02,19706.79
2007-03-28,2.947121,2.317993,1.0109,2797.65,19553.87
2007-03-29,3.108378,2.350187,1.0111,2783.31,19821.78
2007-03-30,3.0527729999999997,2.350187,1.0112,2781.78,19800.93
2007-04-02,3.108378,2.360918,1.0106,2850.11,19809.7
2007-04-03,3.125061,2.360918,1.0117,2888.12,20002.7
2007-04-04,3.075015,2.312627,1.0106,2911.82,20209.71
2007-04-10,3.102818,2.317993,1.0101,3081.57,20347.87
2007-04-11,3.108378,2.323359,1.0113,3121.32,20449.43
2007-04-12,3.091697,2.317993,1.0115,3176.44,20380.21
2007-04-13,3.0305299999999997,2.301895,1.0118,3169.23,20340.97
2007-04-16,3.069454,2.317993,1.0104,3256.0,20757.53
2007-04-17,3.047213,2.3287240000000002,1.0107,3283.6,20788.61
2007-04-18,3.019409,2.366284,1.0112,3304.5,20777.09
2007-04-19,2.902636,2.323359,1.0131,3150.3,20299.71
2007-04-20,2.958242,2.323359,1.0129,3289.28,20566.59
2007-04-23,3.019409,2.3287240000000002,1.0114,3431.32,20556.57
2007-04-24,2.9971669999999997,2.317993,1.0117,3445.2,20572.8
2007-04-25,3.075015,2.312627,1.0129,3448.28,20536.78
2007-04-26,3.075015,2.339456,1.0116,3493.58,20667.29
2007-04-27,3.0082880000000003,2.3287240000000002,1.0139,3470.52,20526.5
2007-04-30,3.013848,2.307261,1.0146,3558.71,20318.98
2007-05-08,3.047213,2.317993,1.0158,3686.03,20706.35
2007-05-09,3.2140299999999997,2.312627,1.0163,3701.28,20844.78
2007-05-10,3.20847,2.307261,1.0164,3724.51,20746.27
2007-05-11,3.175106,2.25897,1.0181,3702.61,20468.21
2007-05-14,3.197348,2.317993,1.0170000000000001,3734.42,20979.24
2007-05-15,3.063894,2.307261,1.016,3604.64,20868.15
2007-05-16,3.0805759999999998,2.307261,1.0176,3700.29,20937.26
2007-05-17,3.091697,2.2965299999999997,1.0198,3778.61,20994.61
2007-05-18,3.0527729999999997,2.2857990000000004,1.0193,3776.63,20904.84
2007-05-21,3.0305299999999997,2.264335,1.0205,3831.44,20927.75
2007-05-22,3.047213,2.25897,1.0222,3870.49,20843.92
2007-05-23,3.069454,2.248239,1.0227,3938.95,20798.97
2007-05-25,3.0527729999999997,2.2106779999999997,1.0222,3985.25,20520.66
2007-05-28,3.075015,2.2053130000000003,1.0226,4072.58,20529.76
2007-05-29,3.108378,2.18385,1.0218,4168.29,20469.59
2007-05-30,2.958242,2.173118,1.0208,3886.46,20293.76
2007-05-31,3.047213,2.1945810000000003,1.0207,3927.95,20634.47
2007-06-01,3.019409,2.1999470000000003,1.0212,3803.95,20602.87
2007-06-04,2.774742,2.1999470000000003,1.0203,3511.43,20729.59
2007-06-05,2.8247880000000003,2.1999470000000003,1.0218,3634.63,20842.15
2007-06-06,2.8025450000000003,2.1945810000000003,1.0231,3677.58,20818.61
2007-06-07,2.819227,2.18385,1.0218,3802.3,20800.16
2007-06-08,2.791424,2.162386,1.0207,3837.87,20509.15
2007-06-11,2.8136669999999997,2.173118,1.0195,3931.86,20615.49
2007-06-13,2.936,2.170985,1.024,4118.27,20578.75
2007-06-14,2.852591,2.2571779999999997,1.0228,4075.82,20867.26
2007-06-15,2.863713,2.2948869999999997,1.0253,4099.38,21017.05
2007-06-18,2.913758,2.38108,1.0249,4227.57,21582.89
2007-06-20,2.84147,2.3703060000000002,1.0255,4157.6,21684.67
2007-06-21,2.872707,2.364919,1.0252,4197.28,21954.67
2007-06-22,2.8113479999999997,2.354146,1.0253,4051.43,21999.91
2007-06-25,2.766724,2.343371,1.025,3877.59,21822.35
2007-06-26,2.783458,2.32721,1.0258,3928.21,21803.57
2007-06-27,2.844816,2.348758,1.0254,4040.48,21705.56
2007-06-28,2.80577,2.359532,1.0265,3858.52,21938.22
2007-06-29,2.7946150000000003,2.3325970000000003,1.0270000000000001,3764.08,21772.73
2007-07-03,2.900598,2.402628,1.0288,3832.23,22151.14
2007-07-04,2.8671290000000003,2.4134029999999997,1.0288,3743.58,22218.55
2007-07-05,2.77788,2.4511119999999997,1.0285,3537.44,22252.99
2007-07-06,2.878285,2.483435,1.0283,3710.28,22531.74
2007-07-09,2.939644,2.558853,1.0272,3821.3,22817.43
2007-07-10,2.989847,2.677368,1.0308,3775.62,22885.84
2007-07-11,3.012159,2.612724,1.0335,3789.87,22607.02
2007-07-12,3.006581,2.558853,1.0328,3816.92,22809.02
2007-07-13,2.995425,2.569627,1.0326,3820.12,23099.29
2007-07-16,2.939644,2.531918,1.0336,3697.97,22953.94
2007-07-17,3.012159,2.575014,1.0338,3789.65,23057.3
2007-07-18,3.017737,2.591175,1.034,3807.57,22841.92
2007-07-19,3.028893,2.655821,1.0342,3807.0,23016.2
2007-07-20,3.1237209999999997,2.650434,1.0326,3971.88,23291.9
2007-07-23,3.207391,2.709691,1.0338,4156.72,23365.56
2007-07-24,3.173923,2.688143,1.0344,4161.35,23472.88
2007-07-25,3.2575939999999997,2.639659,1.0348,4255.46,23362.18
2007-07-26,3.218547,2.618111,1.0339,4303.19,23211.69
2007-07-27,3.1627669999999997,2.5265310000000003,1.0348,4307.14,22570.41
2007-07-30,3.196236,2.5426919999999997,1.0338,4410.3,22739.9
2007-07-31,3.201813,2.607337,1.033,4460.56,23184.94
2007-08-01,3.084674,2.494209,1.0342,4290.48,22455.36
2007-08-02,3.112564,2.515757,1.0333,4436.19,22443.25
2007-08-03,3.246439,2.553466,1.0344,4598.38,22538.44
2007-08-06,3.2352819999999998,2.429563,1.0352,4703.98,21936.73
2007-08-07,3.2352819999999998,2.4080150000000002,1.0341,4724.55,21907.99
2007-08-08,3.553232,2.5426919999999997,1.0333,4668.09,22536.67
2007-08-09,3.6480599999999996,2.521144,1.0326,4777.29,22439.36
2007-08-10,3.731731,2.478048,1.0327,4726.68,21792.71
2007-08-13,3.960431,2.558853,1.0319,4721.19,21891.1
2007-08-14,3.9325410000000005,2.5426919999999997,1.0318,4795.57,22007.32
2007-08-15,3.954853,2.4618860000000002,1.0307,4798.75,21375.72
2007-08-16,3.776355,2.316435,1.0265,4721.94,20672.39
2007-08-17,3.6034339999999996,2.2895,1.0284,4626.58,20387.13
2007-08-20,3.954853,2.51037,1.0298,4885.43,21595.63
2007-08-21,3.9269629999999998,2.575014,1.028,4972.71,21729.35
2007-08-22,3.8600269999999997,2.618111,1.028,5051.69,22346.88
2007-08-23,3.87676,2.634272,1.0292,5135.93,22966.97
2007-08-24,3.8990730000000005,2.645046,1.0308,5217.58,22921.89
2007-08-27,3.9381190000000004,2.731239,1.0318,5243.15,23577.73
2007-08-28,3.843292,2.666595,1.0319,5251.77,23363.76
2007-08-29,3.742886,2.612724,1.0335,5171.82,23020.6
2007-08-30,3.793089,2.666595,1.0341,5241.23,23484.54
2007-08-31,3.8154019999999997,2.747401,1.033,5296.81,23984.14
2007-09-03,3.8544480000000005,2.704304,1.033,5419.17,23904.09
2007-09-04,3.832135,2.715078,1.0322,5360.33,23886.07
2007-09-05,3.793089,2.709691,1.0312,5363.25,24069.17
2007-09-06,3.87676,2.742013,1.0338,5412.04,24050.4
2007-09-07,3.798667,2.763561,1.0326,5294.8,23982.61
2007-09-10,3.793089,2.7581740000000003,1.034,5377.22,23999.7
2007-09-11,3.5811230000000003,2.715078,1.0349,5124.09,23952.24
2007-09-12,3.5643879999999997,2.7204650000000004,1.0355,5202.86,24310.14
2007-09-13,3.6034339999999996,2.7204650000000004,1.0372,5349.97,24537.02
2007-09-14,3.620169,2.731239,1.0362,5397.28,24898.11
2007-09-17,3.6480599999999996,2.7204650000000004,1.0354,5498.91,24599.34
2007-09-18,3.6424809999999996,2.709691,1.0364,5476.84,24576.85
2007-09-19,3.6145910000000003,2.763561,1.0361,5419.27,25554.64
2007-09-20,3.670371,2.855141,1.0366,5494.92,25701.13
2007-09-21,3.731731,2.903625,1.0373,5468.1,25843.78
2007-09-24,3.731731,2.9844310000000003,1.0352,5513.9,26551.94
2007-09-25,3.620169,2.96827,1.034,5454.62,26430.29
2007-09-27,3.670371,2.9090119999999997,1.0323,5427.66,27065.15
2007-09-28,3.6871059999999996,2.925173,1.0358,5580.81,27142.47
2007-10-08,4.055258,3.361525,1.0335,5653.14,27770.29
2007-10-09,4.066414,3.431557,1.033,5675.93,28228.04
2007-10-10,4.233756,3.706297,1.0322,5685.76,28569.33
2007-10-11,4.345318,3.652426,1.0328,5760.08,29133.02
2007-10-12,4.267225,3.587782,1.0265,5737.22,28838.37
2007-10-15,4.384365,3.620103,1.0316,5821.45,29540.78
2007-10-16,4.5461290000000005,3.577008,1.0322,5877.2,28954.55
2007-10-17,4.4401459999999995,3.6254910000000002,1.0311,5824.12,29298.71
2007-10-18,4.261647,3.6685879999999997,1.0312,5615.75,29465.05
2007-10-22,4.155663,3.501589,1.0322,5472.68,28373.63
2007-10-23,4.384365,3.7386190000000004,1.0329,5540.09,29376.86
2007-10-24,4.4345669999999995,3.7817160000000003,1.0345,5588.01,29333.53
2007-10-25,4.2504919999999995,3.7655550000000004,1.0357,5333.79,29854.49
2007-10-29,4.557285,3.9110050000000003,1.0369,5508.36,31586.9
2007-10-30,4.869657,4.002585,1.0373,5596.07,31638.22
2007-10-31,4.875236,3.932553,1.0382,5688.54,31352.58
2007-11-01,4.9310160000000005,3.8355870000000003,1.0398,5605.23,31492.88
2007-11-02,4.825033,3.673974,1.0405,5472.93,30468.34
2007-11-05,4.6242220000000005,3.5123620000000004,1.0414,5360.31,28942.32
2007-11-06,4.551707,3.587782,1.042,5317.55,29438.13
2007-11-07,4.769252,3.593169,1.0421,5350.63,29708.93
2007-11-08,4.607488,3.431557,1.0472,5093.67,28760.22
2007-11-09,4.657691000000001,3.447718,1.0501,5040.52,28783.41
2007-11-12,4.557285,3.264558,1.0511,4978.25,27665.73
2007-11-13,4.462457,3.3292029999999997,1.0482,4939.24,27803.35
2007-11-14,4.657691000000001,3.496202,1.0489,5145.89,29166.01
2007-11-15,4.6632690000000006,3.447718,1.048,5081.11,28751.21
2007-11-16,4.596332,3.264558,1.0484,5007.66,27614.43
2007-11-19,4.529394,3.232236,1.0464,4994.42,27460.17
2007-11-20,4.551707,3.3022669999999996,1.0490000000000002,5069.38,27771.21
2007-11-21,4.4345669999999995,3.146043,1.0490000000000002,4997.62,26618.19
2007-11-22,4.328583,3.113721,1.0494,4772.62,26004.92
2007-11-23,4.406676999999999,3.199914,1.0501,4856.16,26541.09
2007-11-26,4.345318,3.3076550000000005,1.0519,4800.08,27626.62
2007-11-27,4.300694,3.248397,1.0537,4711.15,27210.21
2007-11-28,4.205866,3.237623,1.0534,4648.75,27371.24
2007-11-29,4.473615000000001,3.291494,1.0544,4842.07,28482.54
2007-11-30,4.45688,3.3292029999999997,1.0523,4737.41,28643.61
2007-12-03,4.507082,3.2968800000000003,1.0523,4772.67,28658.42
2007-12-04,4.5461290000000005,3.286107,1.0522,4829.21,28879.59
2007-12-05,4.680002,3.3561379999999996,1.0535,4965.95,29345.45
2007-12-06,4.652112000000001,3.38846,1.0519,4971.06,29558.92
2007-12-07,4.6632690000000006,3.345364,1.0527,5041.35,28842.47
2007-12-10,4.640955,3.3076550000000005,1.0547,5133.56,28501.1
2007-12-11,4.579597,3.3292029999999997,1.0556,5140.0,29226.84
2007-12-12,4.518239,3.259171,1.0574,5077.39,28521.06
2007-12-14,4.45688,3.086785,1.0568,4977.65,27563.64
2007-12-17,4.2783809999999995,2.96827,1.056,4857.29,26596.58
2007-12-18,4.295116,2.957495,1.0576,4829.91,26732.87
2007-12-19,4.395522,2.9844310000000003,1.0575,4946.29,27029.26
2007-12-20,4.401098,3.0113659999999998,1.0587,5037.2,27017.09
2007-12-21,4.468036,3.0760110000000003,1.0585,5101.85,27626.92
2007-12-24,4.5461290000000005,3.113721,1.0623,5207.13,28128.8
2007-12-27,4.579597,3.049076,1.0675,5367.53,27842.93
2007-12-28,4.534973,2.989818,1.0684,5338.28,27370.6
2008-01-02,4.507082,2.995204,1.0705,5385.1,27560.52
2008-01-03,4.495926,2.817432,1.0728,5422.03,26887.28
2008-01-04,4.473615000000001,2.865916,1.0725,5483.65,27519.69
2008-01-07,4.445724,2.83898,1.0731,5556.59,27179.49
2008-01-08,4.5126610000000005,2.849754,1.0735,5528.05,27112.9
2008-01-09,4.534973,2.9467220000000003,1.075,5613.76,27615.85
2008-01-10,4.534973,2.935948,1.0732,5672.15,27230.86
2008-01-11,4.6298,2.865916,1.075,5699.15,26867.01
2008-01-14,4.6242220000000005,2.817432,1.0757,5731.76,26468.13
2008-01-15,4.529394,2.7581740000000003,1.0772,5696.45,25837.78
2008-01-16,4.412256,2.591175,1.0765,5505.72,24450.85
2008-01-17,4.300694,2.69353,1.0769,5365.62,25114.98
2008-01-18,4.384365,2.849754,1.078,5414.47,25201.87
2008-01-21,4.217022,2.618111,1.0772,5145.73,23818.86
2008-01-22,3.8544480000000005,2.3864669999999997,1.0787,4753.87,21757.63
2008-01-23,3.9325410000000005,2.645046,1.0795,4975.11,24090.17
2008-01-24,3.87676,2.591175,1.0812,5027.21,23539.27
