Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2007-11-05,32.859196000000004,11.998063,1.0414,5360.31,28942.32
2007-11-06,29.891696999999997,11.664413,1.042,5317.55,29438.13
2007-11-07,30.220591,11.557646,1.0421,5350.63,29708.93
2007-11-08,28.546232,10.650114,1.0472,5093.67,28760.22
2007-11-09,28.538771,10.796921000000001,1.0501,5040.52,28783.41
2007-11-12,27.245626,10.009506,1.0511,4978.25,27665.73
2007-11-13,27.679167,9.809317,1.0482,4939.24,27803.35
2007-11-14,29.062,10.503308,1.0489,5145.89,29166.01
2007-11-15,28.336946,10.169659,1.048,5081.11,28751.21
2007-11-16,29.017149,9.755934,1.0484,5007.66,27614.43
2007-11-19,28.456533,9.675858,1.0464,4994.42,27460.17
2007-11-20,27.985623999999998,9.942777,1.0490000000000002,5069.38,27771.21
2007-11-21,27.522190000000002,9.515703,1.0490000000000002,4997.62,26618.19
2007-11-22,26.243997999999998,9.422282000000001,1.0494,4772.62,26004.92
2007-11-23,25.85531,9.52905,1.0501,4856.16,26541.09
2007-11-26,25.234901,10.102929,1.0519,4800.08,27626.62
2007-11-27,24.330454,9.769279,1.0537,4711.15,27210.21
2007-11-28,24.031464,9.662510000000001,1.0534,4648.75,27371.24
2007-11-29,24.704193,9.942777,1.0544,4842.07,28482.54
2007-11-30,23.560551,10.0362,1.0523,4737.41,28643.61
2007-12-03,22.753269,9.982816,1.0523,4772.67,28658.42
2007-12-04,22.865393,9.942777,1.0522,4829.21,28879.59
2007-12-05,23.50075,10.289773,1.0535,4965.95,29345.45
2007-12-06,23.261553,10.409886,1.0519,4971.06,29558.92
2007-12-07,23.403578,10.596731,1.0527,5041.35,28842.47
2007-12-10,23.485804,10.223044999999999,1.0547,5133.56,28501.1
2007-12-11,23.867016,10.436580000000001,1.0556,5140.0,29226.84
2007-12-12,23.276502999999998,10.102929,1.0574,5077.39,28521.06
2007-12-13,22.820545000000003,9.662510000000001,1.0576,4884.3,27744.45
2007-12-14,22.835495,9.542399000000001,1.0568,4977.65,27563.64
2007-12-17,22.416904000000002,9.208747,1.056,4857.29,26596.58
2007-12-18,21.856297,9.035249,1.0576,4829.91,26732.87
2007-12-19,22.117916,9.195397,1.0575,4946.29,27029.26
2007-12-20,22.798123999999998,9.0219,1.0587,5037.2,27017.09
2007-12-21,22.828022,9.235437,1.0585,5101.85,27626.92
2007-12-24,23.889442000000003,9.408936,1.0623,5207.13,28128.8
2007-12-27,23.463376999999998,9.408936,1.0675,5367.53,27842.93
2007-12-28,23.14196,9.101980000000001,1.0684,5338.28,27370.6
2008-01-02,22.857922,9.075286,1.0705,5385.1,27560.52
2008-01-03,23.231657000000002,8.808367,1.0728,5422.03,26887.28
2008-01-04,23.403578,9.462319,1.0725,5483.65,27519.69
2008-01-07,23.239134,9.262132000000001,1.0731,5556.59,27179.49
2008-01-08,23.156912,9.235437,1.0735,5528.05,27112.9
2008-01-09,23.037315,9.502357,1.075,5613.76,27615.85
2008-01-10,22.842966,9.315515,1.0732,5672.15,27230.86
2008-01-11,22.99246,9.115322,1.075,5699.15,26867.01
2008-01-14,22.880344,8.861751,1.0757,5731.76,26468.13
2008-01-15,22.618721,8.501408,1.0772,5696.45,25837.78
2008-01-16,22.17024,7.954222,1.0765,5505.72,24450.85
2008-01-17,21.706804,8.247832,1.0769,5365.62,25114.98
2008-01-18,21.744170999999998,8.194448,1.078,5414.47,25201.87
2008-01-21,20.540733,7.513803,1.0772,5145.73,23818.86
2008-01-22,19.569010000000002,6.419430999999999,1.0787,4753.87,21757.63
2008-01-23,19.733454000000002,7.540495,1.0795,4975.11,24090.17
2008-01-24,19.44194,7.300267,1.0812,5027.21,23539.27
2008-01-25,19.53911,7.927528,1.0827,5077.43,25122.37
2008-01-28,17.954454000000002,7.473764,1.085,4731.88,24053.61
2008-01-29,18.089005,7.500457000000001,1.0848,4762.08,24291.8
2008-01-30,18.275869,7.206842999999999,1.0848,4710.65,23653.69
2008-01-31,18.888803,7.153460000000001,1.0857,4620.4,23455.74
2008-02-01,18.253441,7.633916999999999,1.0845,4571.95,24123.58
2008-02-04,19.725983,8.141064,1.0851,4950.12,25032.08
2008-02-05,18.470215,8.15441,1.0857,4921.83,24808.7
2008-02-13,17.879704999999998,7.473764,1.0832,4816.08,23169.55
2008-02-14,18.059103,7.820761999999999,1.0849,4880.25,24021.68
2008-02-15,17.842333,7.914183,1.0859999999999999,4813.31,24148.43
2008-02-18,17.976876999999998,7.834107,1.0891,4910.99,23759.25
2008-02-19,18.492639999999998,7.980914,1.0901,5020.75,24123.17
2008-02-20,18.021729999999998,7.780724,1.0919,4908.72,23590.58
2008-02-21,17.954454000000002,7.914183,1.092,4876.03,23623.0
2008-02-22,17.289196,7.700646000000001,1.0917,4702.24,23305.04
2008-02-25,16.377274,7.700646000000001,1.09,4519.78,23269.14
2008-02-26,16.743538,7.727339,1.0888,4515.53,23714.75
2008-02-27,16.878079999999997,7.994261,1.0901,4639.77,24483.84
2008-02-28,16.623941000000002,8.047645,1.0941,4622.06,24591.69
2008-02-29,16.870608999999998,7.8741449999999995,1.0942,4674.55,24331.67
2008-03-03,17.214453,7.513803,1.0958,4790.74,23584.97
2008-03-04,16.765964999999998,7.233539,1.0954,4671.15,23119.87
2008-03-05,16.586567000000002,7.206842999999999,1.0958,4628.72,23114.34
2008-03-06,17.042532,7.366998,1.0958,4685.03,23342.73
2008-03-07,16.922929999999997,7.02,1.0947,4621.69,22501.33
2008-03-10,16.444551,7.060039999999999,1.0965,4431.59,22705.05
2008-03-11,16.638891,7.100076,1.0964,4441.18,22995.35
2008-03-12,16.489393,7.300267,1.0964,4309.65,23422.76
2008-03-13,16.18293,6.766427999999999,1.0979999999999999,4198.96,22301.64
2008-03-14,16.691216,6.6996970000000005,1.0976,4157.87,22237.11
2008-03-17,16.900509,6.285969000000001,1.0968,3965.28,21084.61
2008-03-18,16.803333,6.432777,1.0979999999999999,3763.95,21384.61
2008-03-19,16.878079999999997,6.566236,1.1006,3888.86,21866.94
2008-03-20,16.369799,6.119144,1.1028,4001.83,21108.22
2008-03-25,14.209579000000002,6.572911,1.1035,3905.77,22464.52
2008-03-26,13.85079,6.45947,1.1072,3914.37,22617.01
2008-03-27,12.699677000000001,6.319335,1.1097,3748.92,22664.22
2008-03-28,13.357459,6.646311999999999,1.1097,3918.16,23285.95
2008-03-31,12.871596,6.466142,1.11,3790.53,22849.2
2008-04-01,12.580076,6.572911,1.1108,3582.86,23137.46
2008-04-02,12.826746,6.806464999999999,1.1095,3547.98,23872.43
2008-04-03,13.118260000000001,6.966616999999999,1.1102,3650.7,24264.63
2008-04-07,13.716246,7.180153,1.1127,3845.82,24578.76
2008-04-08,13.604126999999998,7.073386999999999,1.1125,3891.06,24311.69
2008-04-09,12.946342,6.8465039999999995,1.1126,3688.13,23984.57
2008-04-10,12.968763000000001,6.713042999999999,1.1139,3754.72,24187.1
2008-04-11,13.073417,6.926578999999999,1.1118,3783.73,24667.79
2008-04-14,12.639876,6.539543,1.1134,3536.33,23811.2
2008-04-15,12.751998,6.606275,1.1146,3583.3,23901.33
2008-04-16,12.699677000000001,6.526198,1.1147,3494.02,23878.35
2008-04-17,12.609978,6.753080000000001,1.1166,3386.63,24258.96
2008-04-18,11.974619,6.566236,1.1145,3272.5,24197.78
2008-04-21,12.004519,6.753080000000001,1.1134,3267.55,24721.67
2008-04-22,11.967146000000001,7.206842999999999,1.1151,3296.28,24939.15
2008-04-23,12.348358000000001,7.540495,1.1163,3453.73,25289.24
2008-04-24,13.566749,7.914183,1.1148,3774.5,25680.78
2008-04-25,13.148162,7.794067999999999,1.1115,3803.07,25516.78
2008-04-28,12.587553,7.740685000000001,1.1125,3729.15,25666.29
2008-04-29,12.751998,7.820761999999999,1.1158,3776.94,25914.15
2008-04-30,13.506953,7.740685000000001,1.1153,3959.12,25755.35
2008-05-05,13.581697,8.074336,1.1152,4055.78,26183.95
2008-05-06,13.716246,8.087682000000001,1.1152,4010.89,26262.13
2008-05-07,13.409781,7.647264999999999,1.1154,3821.32,25610.21
2008-05-08,13.44715,7.473764,1.1128,3925.04,25449.79
2008-05-09,13.387356,7.313613,1.1156,3878.92,25063.17
2008-05-13,12.998669,7.3536529999999996,1.1156,3851.69,25552.77
2008-05-14,13.193012,7.286922,1.1146,3975.78,25533.48
2008-05-16,13.163113000000001,7.673953,1.1158,3936.12,25618.86
2008-05-19,12.961288,7.76738,1.1187,3914.07,25742.23
2008-05-20,12.520275999999999,7.521742,1.1186,3710.82,25169.46
2008-05-21,13.349979000000001,7.684083,1.1208,3783.05,25460.29
2008-05-22,13.058465,7.562328,1.1235,3711.44,25043.12
2008-05-23,13.200486999999999,7.413517,1.124,3675.15,24714.07
2008-05-26,12.826746,7.183534,1.1249,3559.22,24127.31
2008-05-27,12.901492,7.197063000000001,1.1232,3576.2,24282.04
2008-05-28,13.178061999999999,7.210591,1.124,3676.23,24249.51
2008-05-29,13.364239000000001,7.264703999999999,1.1248,3580.87,24383.99
2008-05-30,13.51508,7.589386,1.1242,3611.33,24533.12
2008-06-02,13.499991,7.751726,1.1257,3625.83,24831.36
2008-06-03,13.356698000000002,7.440571,1.1271,3614.11,24375.76
2008-06-04,13.107814999999999,7.332348,1.125,3546.92,24123.25
2008-06-05,13.190775,7.345874,1.1237,3512.14,24255.29
2008-06-06,12.949436,7.440571,1.1279,3489.5,24402.18
2008-06-10,12.165077,7.034724000000001,1.1286,3206.56,23375.52
2008-06-11,11.991615,6.98061,1.1291,3140.3,23327.6
2008-06-12,11.591892,6.912967999999999,1.1314,3084.63,23023.86
2008-06-13,11.305304,6.743861999999999,1.1322,2979.12,22592.3
2008-06-16,11.599435,6.926497,1.1318,2952.24,23029.69
2008-06-17,11.493849,6.967082,1.1331,2842.68,23057.99
2008-06-18,12.134912,7.210591,1.1340000000000001,2991.27,23325.8
2008-06-19,11.441058,6.967082,1.135,2773.08,22797.61
2008-06-20,11.961449,7.0753070000000005,1.1343,2849.67,22745.6
2008-06-23,11.584352,7.061779,1.1359,2789.94,22714.96
2008-06-24,11.554185,6.953553,1.1364,2851.92,22456.02
2008-06-25,11.886028,7.061779,1.1373,2969.54,22635.16
2008-06-26,11.720107,6.967082,1.1369,2980.91,22455.67
2008-06-27,11.312845,6.791214,1.1372,2816.02,22042.35
