Date,Open,High,Low,Close,Adj Close,Volume
1993-08-27,12.725053,12.979554,11.410131,11.876716,8.748474,19830093
1993-08-30,11.622215,11.622215,11.172596,11.248947,8.286057,3885248
1993-08-31,11.181080,11.342264,10.858712,10.901128,8.029851,3576645
1993-09-01,10.901128,10.985962,10.875678,10.960512,8.073592,2861834
1993-09-02,11.028379,11.113213,10.943545,11.045346,8.136083,1513549
1993-09-03,11.113213,11.164113,11.028379,11.096246,8.173576,2306159
1993-09-06,11.155629,11.198046,10.748428,11.096246,8.173576,2769418
1993-09-07,11.087762,11.087762,10.655111,10.689044,7.873628,946204
1993-09-08,10.689044,10.816295,10.273359,10.392126,7.654917,1243845
1993-09-09,10.400610,10.451510,9.925541,10.061275,7.411209,2045767
1993-09-10,10.052792,10.120658,9.908574,10.069758,7.417457,1135515
1993-09-13,9.840707,9.984925,9.331705,9.509856,7.005028,1858459
1993-09-14,9.501373,9.501373,9.323222,9.458956,6.967536,1224042
1993-09-15,9.458956,9.458956,9.374122,9.374122,6.905045,925104
1993-09-16,9.374122,9.399572,9.204455,9.204455,6.780070,1129386
1993-09-17,9.204455,9.204455,8.678486,9.034787,6.655087,1443766
1993-09-20,8.932987,8.932987,8.737869,8.890570,6.548859,999602
1993-09-21,8.907537,9.789807,8.907537,9.628623,7.092514,2765175
1993-09-22,9.688007,9.721940,9.399572,9.458956,6.967536,1316576
1993-09-23,9.569239,9.586206,9.416539,9.501373,6.998780,912019
1993-09-24,9.314738,9.823741,8.992370,9.272322,6.830060,1960541
1993-09-27,9.077204,9.331705,9.077204,9.238388,6.805063,616382
1993-09-28,9.280805,9.314738,9.162038,9.263838,6.823812,750763
1993-09-29,9.543789,9.552273,9.204455,9.221421,6.792566,774220
1993-09-30,9.162038,9.289288,9.009337,9.204455,6.780070,738032
1993-10-01,null,null,null,null,null,null
1993-10-04,9.246871,9.280805,9.077204,9.094171,6.698832,625812
1993-10-05,9.094171,9.221421,9.034787,9.077204,6.686333,641372
1993-10-06,9.119621,9.119621,8.500335,8.839670,6.511366,1109818
1993-10-07,8.890570,9.671040,8.805736,8.907537,6.561358,2177672
1993-10-08,8.907537,9.060237,8.576685,8.576685,6.317648,1486791
1993-10-11,8.746353,8.907537,8.619102,8.720903,6.423880,1537478
1993-10-12,8.737869,8.890570,8.644552,8.822703,6.498867,1045339
1993-10-13,8.907537,9.204455,8.619102,8.653036,6.373888,2094804
1993-10-14,8.720903,8.958437,8.653036,8.703936,6.411382,835517
1993-10-15,8.737869,8.822703,8.661519,8.695452,6.405132,537404
1993-10-18,8.653036,8.695452,8.194934,8.381568,6.173924,1011508
1993-10-19,8.398535,8.525785,8.313701,8.398535,6.186421,764436
1993-10-20,8.398535,8.483368,8.313701,8.407018,6.192670,742393
1993-10-21,8.398535,8.398535,8.186450,8.211900,6.048946,641136
1993-10-22,8.203417,8.203417,7.847116,7.923466,5.836484,1381880
1993-10-25,7.702898,7.702898,6.786695,7.465364,5.499042,1503058
1993-10-26,7.448397,7.550198,7.278730,7.363564,5.424055,1101213
1993-10-27,7.363564,7.465364,7.151479,7.448397,5.486543,987579
1993-10-28,7.465364,8.398535,7.295697,8.016783,5.905222,1221330
1993-10-29,8.144034,8.177967,7.643515,7.787732,5.736500,1186439
1993-11-01,7.804699,7.804699,7.635031,7.685932,5.661513,535400
1993-11-02,7.719865,7.719865,7.533231,7.592615,5.592776,511589
1993-11-03,7.482331,7.575648,7.448397,7.490814,5.517789,673788
1993-11-04,7.465364,7.507781,7.295697,7.338113,5.405307,961056
1993-11-05,7.338113,7.635031,7.338113,7.550198,5.561532,531746
1993-11-08,7.635031,7.787732,7.550198,7.550198,5.561532,573357
1993-11-09,7.787732,7.787732,7.550198,7.575648,5.580277,415401
1993-11-10,7.584131,7.702898,6.116508,7.363564,5.424055,934534
1993-11-11,7.363564,7.609581,7.338113,7.389014,5.442801,839996
1993-11-12,7.422947,7.550198,7.397497,7.473847,5.505290,635007
1993-11-15,7.550198,7.770765,7.507781,7.677448,5.655265,1852212
1993-11-16,7.728348,7.762282,7.295697,7.448397,5.486543,1048286
1993-11-17,7.465364,7.677448,7.389014,7.499298,5.524038,761961
1993-11-18,7.550198,7.787732,7.499298,7.762282,5.717752,2506905
1993-11-19,7.804699,7.804699,7.677448,7.711382,5.680260,1473353
1993-11-22,7.804699,8.059200,7.736832,7.838632,5.773993,2322897
1993-11-23,7.898016,7.931949,7.635031,7.694415,5.667762,1921878
1993-11-24,7.685932,7.685932,7.465364,7.533231,5.549034,1182666
1993-11-25,7.550198,7.948916,7.473847,7.550198,5.561532,2180265
1993-11-26,7.762282,7.889532,7.558681,7.584131,5.586526,2567612
1993-11-29,7.626548,7.719865,7.465364,7.507781,5.530286,1198934
1993-11-30,7.592615,8.016783,7.533231,7.651998,5.636517,2532012
1993-12-01,7.719865,7.770765,7.550198,7.567164,5.574028,997481
1993-12-02,7.635031,7.635031,7.465364,7.533231,5.549034,1248560
1993-12-03,7.592615,7.635031,7.473847,7.550198,5.561532,1166989
1993-12-06,7.753799,8.381568,7.702898,8.127067,5.986456,8744049
1993-12-07,8.313701,8.356118,7.719865,7.779249,5.730252,3832321
1993-12-08,7.889532,8.016783,7.677448,7.745315,5.705254,2328791
1993-12-09,7.889532,7.931949,7.533231,7.770765,5.724002,2371227
1993-12-10,7.864082,8.347634,7.804699,8.186450,6.030197,9037329
1993-12-13,8.483368,8.805736,8.237351,8.364601,6.161426,14699349
1993-12-14,8.398535,8.559719,7.864082,7.898016,5.817735,5678168
1993-12-15,7.847116,7.965883,7.685932,7.804699,5.748998,3033111
1993-12-16,7.702898,7.804699,7.304180,7.524748,5.542785,2759988
1993-12-17,6.939395,7.448397,6.939395,7.176929,5.286579,2869496
1993-12-20,6.617027,6.786695,5.946841,6.404943,4.717928,2749615
1993-12-21,6.523710,6.939395,6.523710,6.939395,5.111609,2237672
1993-12-22,6.930912,7.126029,6.701861,6.786695,4.999129,2407652
1993-12-23,6.786695,7.041196,6.786695,6.863045,5.055369,1206478
1993-12-24,6.913945,7.024229,6.795178,6.871528,5.061617,731902
1993-12-27,6.829111,7.083612,6.829111,6.964845,5.130354,1179720
1993-12-28,6.956362,6.973329,6.727311,6.803661,5.011625,879014
1993-12-29,6.795178,6.854561,6.455843,6.498260,4.786665,1368206
1993-12-30,6.489777,6.998779,6.489777,6.752761,4.974133,1954412
1993-12-31,6.854561,6.905462,6.617027,6.701861,4.936639,888208
1994-01-03,6.786695,6.871528,6.710344,6.744278,4.967885,392768
1994-01-04,6.786695,6.871528,6.744278,6.752761,4.974133,505577
1994-01-05,6.803661,6.837595,6.684894,6.752761,4.974133,571471
1994-01-06,6.803661,6.803661,6.684894,6.701861,4.936639,858974
1994-01-07,6.744278,6.863045,6.744278,6.778211,4.992879,1251743
1994-01-10,6.854561,6.990295,6.829111,6.888495,5.074115,1188207
1994-01-11,6.922428,6.956362,6.701861,6.744278,4.967885,816774
1994-01-12,6.786695,6.981812,6.659444,6.744278,4.967885,833395
1994-01-13,6.786695,6.896978,6.608544,6.786695,4.999129,1520740
1994-01-14,6.803661,6.820628,5.963808,6.438876,4.742924,1882506
1994-01-17,6.600060,6.667927,6.489777,6.506743,4.792915,646559
1994-01-18,6.532193,6.532193,6.091058,6.438876,4.742924,645498
1994-01-19,6.277692,6.320109,6.108025,6.184375,4.555456,582080
1994-01-20,6.108025,6.184375,6.023191,6.184375,4.555456,564869
1994-01-21,6.108025,6.235276,6.065608,6.235276,4.592950,570645
1994-01-24,6.277692,6.447360,6.235276,6.447360,4.749173,482827
1994-01-25,6.438876,6.574610,6.277692,6.277692,4.624193,518308
1994-01-26,6.277692,6.438876,6.277692,6.413426,4.724176,374261
1994-01-27,6.396460,6.447360,6.345559,6.354043,4.680434,199684
1994-01-28,6.362526,6.404943,6.116508,6.192859,4.561706,323102
1994-01-31,6.150442,6.192859,6.006225,6.091058,4.486718,471982
1994-02-01,6.065608,6.091058,5.980774,6.023191,4.436726,226443
1994-02-02,6.023191,6.192859,6.006225,6.192859,4.561706,227857
1994-02-03,6.192859,6.320109,6.158925,6.209825,4.574202,581608
1994-02-04,6.277692,6.328593,6.108025,6.328593,4.661688,517954
1994-02-07,null,null,null,null,null,null
1994-02-08,null,null,null,null,null,null
1994-02-09,null,null,null,null,null,null
1994-02-10,null,null,null,null,null,null
1994-02-11,null,null,null,null,null,null
1994-02-14,6.404943,6.447360,6.108025,6.150442,4.530462,261452
1994-02-15,6.108025,6.277692,6.108025,6.235276,4.592950,263456
1994-02-16,6.277692,6.277692,6.192859,6.218309,4.580452,112455
1994-02-17,6.192859,6.235276,6.133475,6.150442,4.530462,162199
1994-02-18,6.124992,6.192859,6.108025,6.167409,4.542959,161728
1994-02-21,6.158925,6.158925,6.057125,6.099542,4.492968,244478
1994-02-22,6.065608,6.362526,5.980774,6.209825,4.574202,629938
1994-02-23,6.184375,6.201342,6.091058,6.124992,4.511714,267936
1994-02-24,6.158925,6.192859,6.023191,6.124992,4.511714,206639
1994-02-25,6.192859,6.269209,6.082575,6.167409,4.542959,398190
1994-02-28,6.192859,6.192859,6.023191,6.057125,4.461722,737914
1994-03-01,6.023191,6.108025,5.963808,5.963808,4.392984,329703
1994-03-02,5.980774,6.023191,5.870491,5.921391,4.361740,392414
1994-03-03,5.895941,5.921391,5.811107,5.853524,4.311749,354340
1994-03-04,5.895941,5.895941,5.726273,5.726273,4.218014,369664
1994-03-07,5.692340,5.768690,5.607506,5.658406,4.168023,56934
1994-03-08,5.777174,5.938358,5.649923,5.811107,4.280503,597639
1994-03-09,5.955324,6.023191,5.836557,6.014708,4.430478,1561172
1994-03-10,5.997741,5.997741,5.514189,5.683857,4.186770,846951
1994-03-11,5.768690,5.811107,5.641440,5.777174,4.255508,513711
1994-03-14,5.938358,6.354043,5.853524,6.243759,4.599199,2065924
1994-03-15,6.362526,6.430393,5.980774,6.023191,4.436726,1470995
1994-03-16,5.845041,6.023191,5.845041,5.972291,4.399232,598465
1994-03-17,6.065608,6.065608,5.862007,5.895941,4.342994,735556
1994-03-18,5.938358,6.192859,5.887457,6.116508,4.505465,2658142
1994-03-21,6.116508,6.116508,5.700823,5.734757,4.224264,928522
1994-03-22,5.768690,5.819590,5.641440,5.726273,4.218014,420116
1994-03-23,5.726273,5.768690,5.641440,5.666890,4.174273,491550
1994-03-24,5.666890,5.717790,5.599023,5.641440,4.155525,399133
1994-03-25,5.641440,5.683857,5.582056,5.632956,4.149276,572296
1994-03-28,5.344522,5.582056,5.327555,5.471772,4.030548,438976
1994-03-29,5.471772,5.514189,5.429356,5.488739,4.043045,327935
1994-03-30,5.522673,5.582056,5.471772,5.497222,4.049294,373318
1994-03-31,5.514189,5.531156,5.412389,5.429356,3.999304,409271
1994-04-01,5.420872,5.437839,5.310588,5.437839,4.005551,403495
1994-04-04,5.395422,5.395422,5.259688,5.259688,3.874324,440980
1994-04-05,5.242721,5.268172,5.081537,5.106988,3.761845,407149
1994-04-06,5.090021,5.098504,5.005187,5.039121,3.711853,428485
1994-04-07,5.005187,5.429356,4.674336,5.420872,3.993054,3787882
1994-04-08,5.302105,5.386939,5.174854,5.302105,3.905569,1638853
1994-04-11,5.302105,5.369972,5.090021,5.259688,3.874324,950801
1994-04-12,5.132438,5.259688,5.073054,5.174854,3.811835,321923
1994-04-13,5.251205,5.251205,4.759169,4.844003,3.568128,3518531
1994-04-14,4.835520,4.971254,4.733719,4.827036,3.555629,987107
1994-04-15,4.750686,4.835520,4.436801,4.716753,3.474394,883493
1994-04-18,4.708269,4.708269,4.428318,4.453768,3.280678,608248
1994-04-19,4.326518,4.453768,4.241684,4.258651,3.136954,506048
1994-04-20,4.224717,4.224717,3.800549,3.970216,2.924490,781647
1994-04-21,3.817515,4.428318,3.732682,4.326518,3.186944,1249032
1994-04-22,4.335001,4.394385,4.004150,4.097467,3.018224,1654177
1994-04-25,3.970216,4.216234,3.970216,4.131400,3.043219,453121
1994-04-26,4.173817,4.326518,4.156850,4.275617,3.149451,484830
1994-04-27,4.326518,4.326518,4.284101,4.326518,3.186944,815124
1994-04-28,null,null,null,null,null,null
1994-04-29,4.513152,4.996704,4.513152,4.818553,3.549381,5606499
1994-05-02,null,null,null,null,null,null
1994-05-03,4.835520,4.962770,4.665852,4.928837,3.630618,2896255
1994-05-04,4.911870,5.022154,4.877937,5.022154,3.699355,3618491
1994-05-05,5.005187,5.056087,4.733719,4.971254,3.661861,2747375
1994-05-06,5.090021,5.106988,4.750686,4.835520,3.561879,1676338
1994-05-09,4.818553,4.818553,4.623435,4.648886,3.424403,396540
1994-05-10,4.708269,4.818553,4.665852,4.767653,3.511889,574418
1994-05-11,4.776136,4.852486,4.674336,4.750686,3.499390,639840
1994-05-12,4.648886,4.699786,4.479218,4.606469,3.393159,395833
1994-05-13,4.581019,4.589502,4.402868,4.581019,3.374413,381923
1994-05-16,4.623435,4.665852,4.581019,4.631919,3.411906,171158
1994-05-17,4.581019,4.623435,4.496185,4.564052,3.361914,84518
1994-05-18,4.564052,4.581019,4.496185,4.504668,3.318172,126718
1994-05-19,4.513152,4.530118,4.419835,4.496185,3.311923,208407
1994-05-20,4.581019,4.581019,4.496185,4.530118,3.336919,122828
1994-05-23,4.538602,4.564052,4.462251,4.462251,3.286927,136148
1994-05-24,4.453768,4.496185,4.419835,4.453768,3.280678,100313
1994-05-25,4.462251,4.648886,4.462251,4.555569,3.355666,162789
1994-05-26,4.572535,4.572535,4.479218,4.479218,3.299425,183535
1994-05-27,4.428318,4.564052,4.326518,4.564052,3.361914,304831
1994-05-30,4.411351,4.411351,4.156850,4.258651,3.136954,281609
1994-05-31,4.224717,4.318034,4.156850,4.309551,3.174447,320391
1994-06-01,4.275617,4.318034,4.275617,4.275617,3.149451,156541
1994-06-02,4.241684,4.275617,4.233201,4.250167,3.130704,187543
1994-06-03,4.258651,4.292584,4.250167,4.250167,3.130704,199095
1994-06-06,4.411351,4.411351,4.173817,4.224717,3.111957,122239
1994-06-07,4.233201,4.233201,4.055050,4.097467,3.018224,153830
1994-06-08,4.080500,4.139883,4.029600,4.114433,3.030721,186954
1994-06-09,4.114433,4.233201,4.029600,4.097467,3.018224,141453
1994-06-10,4.029600,4.080500,3.970216,3.987183,2.936988,217012
1994-06-13,3.919316,3.944766,3.571498,3.775099,2.780766,181531
1994-06-14,3.775099,3.817515,3.749649,3.783582,2.787014,194380
1994-06-15,4.411351,4.411351,3.961733,4.267134,3.143202,2294253
1994-06-16,null,null,null,null,null,null
