Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2004-12-31,7.05836,6.517885,0.9391,1000.0,14230.14
2005-01-04,6.948985,6.517885,0.9407,982.79,14045.9
2005-01-05,6.912527000000001,6.351824,0.941,992.56,13764.36
2005-01-06,6.927110000000001,6.310308999999999,0.9418,983.17,13712.04
2005-01-07,6.854191999999999,6.434855000000001,0.9411,983.96,13574.86
2005-01-10,6.825025999999999,6.351824,0.9419,993.88,13531.39
2005-01-11,6.730233,6.393341,0.9419,997.14,13509.25
2005-01-12,6.7594,6.517885,0.9418,996.75,13565.31
2005-01-13,6.737525,6.642431,0.9414,996.88,13573.28
2005-01-14,6.781275999999999,6.642431,0.9417,988.31,13494.78
2005-01-17,6.635441,6.642431,0.9421,967.45,13621.65
2005-01-18,6.671900999999999,6.642431,0.9423,974.69,13604.22
2005-01-19,6.650025,6.642431,0.9423,967.21,13678.63
2005-01-20,6.664609,6.725461999999999,0.9423,956.25,13543.59
2005-01-21,6.766692999999999,6.808491,0.9422,982.6,13481.02
2005-01-24,6.956276,6.766976,0.9423,998.13,13386.99
2005-01-25,6.912527000000001,6.808491,0.9423,997.78,13584.06
2005-01-26,6.890650999999999,6.808491,0.9420000000000001,989.93,13623.68
2005-01-27,6.861485000000001,6.850007000000001,0.9423,974.63,13628.91
2005-01-28,6.8323160000000005,6.850007000000001,0.9424,969.21,13650.06
2005-01-31,6.890650999999999,7.223642999999999,0.9424,954.88,13721.69
2005-02-01,7.036484,6.850007000000001,0.9424,955.95,13578.26
2005-02-02,7.291694000000001,6.891522,0.9424,1006.91,13555.8
2005-02-03,7.182319000000001,6.850007000000001,0.9424,993.22,13515.33
2005-02-04,7.262527,6.808491,0.9424,1016.86,13585.17
2005-02-16,7.393778,6.974552,0.9420000000000001,1023.58,14015.49
2005-02-17,7.364611999999999,6.933038000000001,0.9424,1020.61,13967.82
2005-02-18,7.109402,7.016067999999999,0.9424,1006.06,14087.87
2005-02-21,7.109402,7.099099000000001,0.9424,1025.63,14111.65
2005-02-22,7.196902000000001,6.974552,0.9424,1046.74,14090.52
2005-02-23,7.138567999999999,6.974552,0.9424,1043.94,13957.94
2005-02-24,7.116694,6.891522,0.9424,1045.46,14060.91
2005-02-25,7.160444,6.891522,0.9424,1046.76,14157.09
2005-02-28,7.0000279999999995,6.974552,0.9423,1039.99,14195.35
2005-03-01,6.985442999999999,6.808491,0.9424,1035.93,14061.15
2005-03-02,6.934402,6.850007000000001,0.9424,1021.32,13850.78
2005-03-03,7.0000279999999995,6.766976,0.9424,1027.71,13892.37
