Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,0.281951,0.281951,0.281951,0.281951,0.161100,1053267
1991-01-03,0.277621,0.277621,0.277621,0.277621,0.158626,249458
1991-01-04,0.276178,0.276178,0.276178,0.276178,0.157801,376958
1991-01-07,0.279064,0.279064,0.279064,0.279064,0.159451,404676
1991-01-08,null,null,null,null,null,null
1991-01-09,0.276178,0.276178,0.276178,0.276178,0.157801,177392
1991-01-10,0.274735,0.274735,0.274735,0.274735,0.156977,16630
1991-01-11,0.273292,0.273292,0.273292,0.273292,0.156153,16630
1991-01-14,0.270406,0.270406,0.270406,0.270406,0.154503,27717
1991-01-15,0.269143,0.269143,0.269143,0.269143,0.153782,83152
1991-01-16,0.267880,0.267880,0.267880,0.267880,0.153060,33261
1991-01-17,0.266617,0.266617,0.266617,0.266617,0.152339,22174
1991-01-18,0.265355,0.265355,0.265355,0.265355,0.151617,27717
1991-01-21,null,null,null,null,null,null
1991-01-22,null,null,null,null,null,null
1991-01-23,null,null,null,null,null,null
1991-01-24,null,null,null,null,null,null
1991-01-25,null,null,null,null,null,null
1991-01-28,null,null,null,null,null,null
1991-01-29,0.263010,0.263010,0.263010,0.263010,0.150278,83152
1991-01-30,0.261747,0.261747,0.261747,0.261747,0.149556,249458
1991-01-31,null,null,null,null,null,null
1991-02-01,null,null,null,null,null,null
1991-02-04,0.264453,0.264453,0.264453,0.264453,0.151102,5571229
1991-02-05,0.265716,0.265716,0.265716,0.265716,0.151824,4961443
1991-02-06,0.266978,0.266978,0.266978,0.266978,0.152545,9008207
1991-02-07,0.268241,0.268241,0.268241,0.268241,0.153266,5377206
1991-02-08,0.269504,0.269504,0.269504,0.269504,0.153988,6846237
1991-02-11,0.272210,0.272210,0.272210,0.272210,0.155534,2051099
1991-02-12,0.271849,0.271849,0.271849,0.271849,0.155328,1136420
1991-02-13,0.275096,0.275096,0.275096,0.275096,0.157183,388045
1991-02-14,null,null,null,null,null,null
1991-02-15,null,null,null,null,null,null
1991-02-18,null,null,null,null,null,null
1991-02-19,null,null,null,null,null,null
1991-02-20,null,null,null,null,null,null
1991-02-21,null,null,null,null,null,null
1991-02-22,0.276539,0.276539,0.276539,0.276539,0.158008,1912511
1991-02-25,0.276539,0.276539,0.276539,0.276539,0.158008,1469030
1991-02-26,0.275096,0.275096,0.275096,0.275096,0.157183,526633
