Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2014-06-25,6.51538,9.911211,1.2433,2133.37,22866.7
2014-06-26,6.619561999999999,10.582905,1.2453,2149.08,23197.83
2014-06-27,6.667646,10.388859,1.2466,2150.26,23221.52
2014-06-30,6.6275770000000005,10.269447999999999,1.2494,2165.12,23190.72
2014-07-02,6.507366,10.627684,1.2479,2170.87,23549.62
2014-07-03,6.531407,10.896361,1.2475,2180.19,23531.44
2014-07-04,6.787856,11.791953,1.249,2178.7,23546.36
2014-07-07,7.020261,11.717319,1.2493,2176.29,23540.92
2014-07-08,6.95615,11.866585,1.2496,2180.47,23541.38
2014-07-09,6.8599820000000005,11.582981,1.2502,2148.71,23176.07
2014-07-10,6.964164,11.568052999999999,1.2496,2142.85,23238.99
2014-07-11,7.060332000000001,11.388936,1.2493,2148.01,23233.45
2014-07-14,7.1164309999999995,11.344156,1.2488,2171.76,23346.67
2014-07-15,7.100401,11.568052999999999,1.2484,2174.98,23459.96
2014-07-16,6.9721779999999995,11.538200999999999,1.2491,2170.87,23523.28
2014-07-17,6.9000509999999995,11.433715,1.2493,2157.07,23520.87
2014-07-18,7.124444,11.702394,1.2486,2164.14,23454.79
2014-07-21,7.164513,11.762098,1.2484,2166.3,23387.14
2014-07-22,7.356851,12.090483,1.2495,2192.7,23782.11
2014-07-23,7.525144,12.777104,1.2503,2197.83,23971.87
2014-07-24,7.829675999999999,12.971147,1.2512,2237.02,24141.5
2014-07-25,7.861732000000001,12.463647,1.2516,2260.45,24216.01
2014-07-28,7.893787,12.553205,1.2526,2323.9,24428.63
2014-07-29,8.013997999999999,12.523354,1.2537,2331.37,24640.53
2014-07-30,7.71748,12.31438,1.2557,2322.01,24732.21
2014-07-31,7.933857000000001,12.806955,1.2553,2350.25,24756.85
2014-08-01,7.8056339999999995,12.612910000000001,1.2541,2329.4,24532.43
2014-08-04,7.973927000000001,12.702472,1.2542,2375.62,24600.08
2014-08-05,7.8056339999999995,12.583057,1.2559,2369.35,24648.26
2014-08-06,7.677411,12.56813,1.2575,2363.22,24584.13
2014-08-07,7.629326,12.224821,1.2581,2327.46,24387.56
2014-08-08,7.565214,11.478496,1.2591,2331.13,24331.41
2014-08-11,7.701452000000001,11.926291,1.2595,2365.35,24646.02
2014-08-12,7.6613809999999996,12.194968,1.2587,2357.05,24689.41
2014-08-13,7.6533679999999995,12.523354,1.2595,2358.9,24890.34
2014-08-14,7.501100999999999,12.090483,1.2597,2335.95,24801.36
2014-08-15,7.533157000000001,12.060628999999999,1.2608,2360.64,24954.94
2014-08-18,7.51713,11.791953,1.2616,2374.56,24955.46
2014-08-19,7.533157000000001,11.642686999999999,1.262,2374.77,25122.95
2014-08-20,7.380892,11.568052999999999,1.2622,2366.14,25159.76
2014-08-21,7.477059,11.403862,1.2598,2354.24,24994.1
2014-08-22,7.493088,11.299377,1.2596,2365.36,25112.23
2014-08-25,7.340821000000001,11.090406,1.2594,2342.86,25166.91
2014-08-26,7.340821000000001,11.254597,1.2596,2324.09,25074.5
2014-08-27,7.340821000000001,11.015773,1.2615,2327.59,24918.75
2014-08-28,7.228625999999999,10.657537,1.2615,2311.28,24741.0
2014-08-29,7.308766,10.836656,1.2615,2338.29,24742.06
2014-09-01,7.348836,10.747096,1.2616,2355.32,24752.09
2014-09-02,7.412949,10.687389,1.2607,2386.46,24749.02
2014-09-03,7.613297,11.209817999999999,1.262,2408.84,25317.95
2014-09-04,7.749536,11.433715,1.2626,2426.22,25297.92
2014-09-05,7.877758999999999,11.463569,1.262,2449.26,25240.15
2014-09-10,7.581242,11.209817999999999,1.2644,2432.43,24705.36
