Date,Open,High,Low,Close,Adj Close,Volume
1997-11-18,1.715066,1.895144,1.631711,1.635643,1.437068,505088135
1997-11-19,1.596325,1.682039,1.572733,1.592393,1.399069,114685459
1997-11-20,1.584529,1.752025,1.580597,1.750452,1.537938,151462294
1997-11-21,1.769325,1.777189,1.674961,1.688329,1.483357,108745802
1997-11-24,1.671029,1.758316,1.655302,1.717425,1.508921,69322517
1997-11-25,1.730007,1.792916,1.667098,1.718998,1.510303,65174530
1997-11-26,1.723716,1.726075,1.660020,1.667098,1.464704,40999927
1997-11-27,1.660020,1.707989,1.612052,1.616770,1.420486,50285630
1997-11-28,1.602615,1.690689,1.590034,1.685184,1.480594,30392831
1997-12-01,1.667098,1.674961,1.619916,1.626206,1.428776,20565499
1997-12-02,1.639575,1.671029,1.612052,1.625420,1.428086,15808458
1997-12-03,1.615984,1.650584,1.604188,1.630925,1.432923,14821972
1997-12-04,1.623847,1.710348,1.616770,1.683611,1.479212,34556930
1997-12-05,1.694620,1.773257,1.659234,1.666311,1.464012,54759075
1997-12-08,1.667098,1.702484,1.663166,1.671816,1.468849,20925458
1997-12-09,1.694620,1.698552,1.665525,1.683611,1.479212,12566854
1997-12-10,1.694620,1.753598,1.691475,1.732366,1.522048,30200250
1997-12-11,1.722143,1.731580,1.691475,1.718211,1.509612,14796450
1997-12-12,1.730007,1.761462,1.710348,1.714280,1.506158,29510444
1997-12-15,1.738657,1.840098,1.714280,1.823585,1.602193,75085259
1997-12-16,1.832235,1.925026,1.824371,1.878630,1.650555,87269443
1997-12-17,1.855826,1.877844,1.793703,1.798421,1.580084,66777293
1997-12-18,1.778762,1.846389,1.769325,1.813362,1.593211,38905549
1997-12-19,1.808644,1.887280,1.800780,1.858185,1.632592,42095993
1997-12-22,1.896717,1.980858,1.875485,1.969849,1.730699,60798520
1997-12-23,1.980072,2.043767,1.934462,2.013885,1.769389,57999878
1997-12-24,2.013099,2.044554,1.984003,1.987935,1.746590,40110546
1997-12-25,1.982431,2.020963,1.965917,1.988722,1.747281,30857780
1997-12-26,2.017031,2.056349,1.973781,2.009954,1.765935,31688639
1997-12-29,2.025681,2.035117,1.954908,1.958053,1.720335,31138183
1997-12-30,1.934462,1.981644,1.930530,1.934462,1.699608,21151332
1997-12-31,1.935249,2.035117,1.935249,2.028826,1.782516,31197176
1998-01-01,null,null,null,null,null,null
1998-01-02,null,null,null,null,null,null
1998-01-05,2.052417,2.221486,2.029613,2.192391,1.926223,55419912
1998-01-06,2.162509,2.186100,2.107463,2.139704,1.879933,53760699
1998-01-07,2.138918,2.318209,2.091736,2.245077,1.972514,50708702
1998-01-08,2.225418,2.319782,2.206545,2.234068,1.962840,46211222
1998-01-09,2.201827,2.277318,2.145209,2.207332,1.939350,34847812
1998-01-12,2.201827,2.241145,2.148354,2.153072,1.891678,27073910
1998-01-13,2.115327,2.115327,1.937608,2.008381,1.764553,65489510
1998-01-14,2.013099,2.113754,2.005235,2.060281,1.810152,38256246
1998-01-15,2.083872,2.098027,2.005235,2.036690,1.789426,22675061
1998-01-16,2.038263,2.093308,2.011526,2.057136,1.807389,18190704
1998-01-19,2.045340,2.121618,2.028826,2.069717,1.818443,15491558
1998-01-20,2.072077,2.087804,1.965917,1.990294,1.748662,16225464
1998-01-21,1.995013,2.025681,1.895930,1.914803,1.682336,16673894
1998-01-22,1.914803,2.028826,1.910871,2.001304,1.758335,16417487
1998-01-23,2.005235,2.020963,1.973781,2.002090,1.759026,11364642
1998-01-26,null,null,null,null,null,null
1998-01-27,null,null,null,null,null,null
1998-01-28,null,null,null,null,null,null
1998-01-29,null,null,null,null,null,null
1998-01-30,null,null,null,null,null,null
1998-02-02,null,null,null,null,null,null
1998-02-03,null,null,null,null,null,null
1998-02-04,null,null,null,null,null,null
1998-02-05,null,null,null,null,null,null
1998-02-06,null,null,null,null,null,null
1998-02-09,2.074436,2.082299,1.976926,1.991867,1.750044,13677430
1998-02-10,1.977712,1.981644,1.918735,1.925026,1.691318,11682204
1998-02-11,1.910085,1.961985,1.903008,1.924240,1.690628,10258187
1998-02-12,1.930530,1.954121,1.893571,1.934462,1.699608,10509698
1998-02-13,1.921094,2.003663,1.921094,1.969849,1.730699,10420198
1998-02-16,1.973781,2.035117,1.965917,1.965917,1.727245,16777077
1998-02-17,1.973781,1.973781,1.922667,1.937608,1.702373,9355491
1998-02-18,1.928958,1.934462,1.895144,1.901435,1.670591,11684429
1998-02-19,1.895144,1.948617,1.895144,1.943112,1.707208,6335807
1998-02-20,1.943112,1.976140,1.918735,1.925812,1.692009,7263783
1998-02-23,1.918735,1.918735,1.855826,1.884921,1.656082,12561780
1998-02-24,1.884921,1.891212,1.825157,1.831448,1.609101,10166143
1998-02-25,1.832235,1.849535,1.777975,1.785053,1.568339,12177850
1998-02-26,1.885708,1.926599,1.785053,1.909299,1.677501,20846424
1998-02-27,1.889639,1.924240,1.816507,1.827516,1.605646,9362040
1998-03-02,1.733939,1.786625,1.706416,1.715852,1.507539,20082709
1998-03-03,1.690689,1.781907,1.682825,1.777975,1.562120,10930812
1998-03-04,1.822798,1.875485,1.753598,1.766966,1.552448,8718575
1998-03-05,1.755171,1.791344,1.730793,1.735511,1.524811,6998004
1998-03-06,1.730007,1.753598,1.710348,1.736298,1.525502,5225499
1998-03-09,1.737871,1.745734,1.696979,1.714280,1.506158,5167434
1998-03-10,1.714280,1.737871,1.651370,1.709561,1.502012,10573218
1998-03-11,1.706416,1.776403,1.694620,1.725289,1.515830,12279508
1998-03-12,1.703270,1.761462,1.694620,1.744161,1.532411,9738468
1998-03-13,1.730793,1.804712,1.730007,1.792130,1.574556,13171356
1998-03-16,1.805498,1.855826,1.793703,1.836953,1.613938,18579174
1998-03-17,1.833021,1.871553,1.814148,1.823585,1.602193,13126530
1998-03-18,1.836166,1.847962,1.792916,1.792916,1.575247,9888321
1998-03-19,1.788984,1.808644,1.769325,1.776403,1.560739,5971804
1998-03-20,1.791344,1.824371,1.757530,1.815721,1.595283,13446800
1998-03-23,1.847176,1.982431,1.840098,1.918735,1.685791,70055966
1998-03-24,1.918735,2.002090,1.910871,2.001304,1.758335,50268691
1998-03-25,2.043767,2.107463,1.965917,2.000517,1.757644,90820940
1998-03-26,2.035117,2.162509,2.024895,2.145995,1.885460,104660610
1998-03-27,2.162509,2.294618,2.123190,2.264736,1.989786,97151343
1998-03-30,2.272600,2.320569,2.217554,2.251368,1.978040,90243766
1998-03-31,2.249009,2.249009,2.162509,2.189245,1.923460,54727729
1998-04-01,2.178236,2.286755,2.162509,2.237214,1.965605,42716098
1998-04-02,2.245077,2.264736,2.193963,2.197895,1.931060,37754852
1998-04-03,2.170372,2.241932,2.170372,2.223059,1.953169,29141520
1998-04-06,2.201827,2.445601,2.179022,2.445601,2.148693,68165665
1998-04-07,2.516374,2.532101,2.423583,2.462901,2.163892,56969532
1998-04-08,2.445601,2.491210,2.422796,2.450319,2.152838,28936361
1998-04-09,2.450319,2.477056,2.384264,2.436951,2.141093,31609884
1998-04-10,2.431446,2.563556,2.422010,2.498287,2.194982,36376755
1998-04-13,2.488851,2.524238,2.415719,2.435378,2.139711,30728336
1998-04-14,2.422010,2.491210,2.406283,2.437737,2.141783,19988453
1998-04-15,2.437737,2.488851,2.414146,2.464474,2.165274,16862393
1998-04-16,2.437737,2.579283,2.429874,2.476269,2.175637,35656875
1998-04-17,2.476269,2.476269,2.407069,2.417292,2.123821,21561090
1998-04-20,2.399205,2.445601,2.328432,2.344946,2.060258,21295056
1998-04-21,2.343373,2.417292,2.280464,2.327646,2.045058,16217656
1998-04-22,2.304055,2.532101,2.296191,2.455037,2.156983,21009528
