Date,Open,High,Low,Close,Adj Close,Volume
2004-12-09,6.181318,6.359381,5.850630,6.206756,5.304680,351913051
2004-12-10,6.181318,6.257631,6.028693,6.130443,5.239460,48349647
2004-12-13,6.092287,6.143162,6.079568,6.105006,5.217718,29663262
2004-12-14,6.130443,6.308506,6.117724,6.308506,5.391642,29592976
2004-12-15,6.308506,6.601037,6.308506,6.601037,5.641658,52435131
2004-12-16,6.575600,6.944444,6.550162,6.842694,5.848194,40880548
2004-12-17,6.829975,6.829975,6.601037,6.715506,5.739490,16051482
2004-12-20,6.626475,6.715506,6.626475,6.664631,5.696010,7759402
2004-12-21,6.639194,6.677350,6.461131,6.512006,5.565566,9739154
2004-12-22,6.512006,6.512006,6.308506,6.397537,5.467734,12445392
2004-12-23,6.486568,6.486568,6.384818,6.461131,5.522085,4408447
2004-12-24,6.473850,6.473850,6.435693,6.473850,5.532956,2951544
2004-12-27,6.473850,6.473850,6.473850,6.473850,5.532956,0
2004-12-28,6.562881,6.562881,6.397537,6.410256,5.478604,3487760
2004-12-29,6.435693,6.461131,6.384818,6.422975,5.489475,3907612
2004-12-30,6.422975,6.422975,6.232193,6.333943,5.413383,5388888
2004-12-31,6.359381,6.410256,6.295787,6.397537,5.467734,889237
2005-01-03,6.397537,6.397537,6.359381,6.384818,5.456864,1103094
2005-01-04,6.372100,6.384818,6.308506,6.308506,5.391642,1872410
2005-01-05,6.308506,6.308506,6.130443,6.181318,5.282939,5436637
2005-01-06,6.155881,6.181318,6.143162,6.168599,5.272069,2098745
2005-01-07,6.168599,6.359381,6.130443,6.143162,5.250329,4612476
2005-01-10,6.168599,6.194037,6.143162,6.143162,5.250329,15701212
2005-01-11,6.168599,6.257631,6.143162,6.155881,5.261199,9037042
2005-01-12,6.155881,6.155881,5.888787,6.015974,5.141626,9118025
2005-01-13,6.079568,6.206756,6.066849,6.181318,5.282939,15976003
2005-01-14,6.168599,6.359381,6.155881,6.194037,5.293810,18797838
2005-01-17,6.257631,6.512006,6.257631,6.512006,5.565566,15844308
2005-01-18,6.486568,6.550162,6.333943,6.537444,5.587308,5500535
2005-01-19,6.613756,6.613756,6.448412,6.512006,5.565566,2304469
2005-01-20,6.435693,6.435693,6.308506,6.321225,5.402513,2545058
2005-01-21,6.308506,6.333943,6.244912,6.244912,5.337292,3315180
2005-01-24,6.257631,6.499287,6.257631,6.486568,5.543827,3979160
2005-01-25,6.486568,6.486568,6.372100,6.448412,5.511215,4760926
2005-01-26,6.461131,6.473850,6.346662,6.346662,5.424253,3192920
2005-01-27,6.422975,6.422975,6.333943,6.333943,5.413383,817689
2005-01-28,6.346662,6.346662,6.270350,6.308506,5.391642,2164518
2005-01-31,6.295787,6.397537,6.295787,6.397537,5.467734,3021520
2005-02-01,6.384818,6.397537,6.270350,6.308506,5.391642,2624469
2005-02-02,6.359381,6.397537,6.321225,6.397537,5.467734,1592136
2005-02-03,6.397537,6.422975,6.283068,6.308506,5.391642,2427122
2005-02-04,6.359381,6.410256,6.321225,6.359381,5.435123,4346334
2005-02-07,6.359381,6.384818,6.346662,6.372100,5.445994,1971103
2005-02-08,6.372100,6.435693,6.372100,6.422975,5.489475,1141620
2005-02-14,6.486568,6.613756,6.422975,6.601037,5.641658,8250802
2005-02-15,6.677350,6.906288,6.626475,6.893569,5.891675,10320972
2005-02-16,6.919006,7.020757,6.829975,7.008038,5.989507,10351635
2005-02-17,7.046194,7.046194,6.893569,6.919006,5.913414,4716653
2005-02-18,6.919006,6.919006,6.715506,6.804538,5.815583,5184466
2005-02-21,6.829975,6.931725,6.804538,6.919006,5.913414,2898080
2005-02-22,6.906288,6.931725,6.880850,6.931725,5.924285,2849333
