Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2004-12-31,5.140174,5.467734,0.9391,1000.0,14230.14
2005-01-04,5.167137,5.391642,0.9407,982.79,14045.9
2005-01-05,5.107433,5.282939,0.941,992.56,13764.36
2005-01-06,4.988029,5.272069,0.9418,983.17,13712.04
2005-01-07,4.909068,5.250329,0.9411,983.96,13574.86
2005-01-10,4.870552,5.250329,0.9419,993.88,13531.39
2005-01-11,4.8147,5.2611989999999995,0.9419,997.14,13509.25
2005-01-12,4.822404,5.1416260000000005,0.9418,996.75,13565.31
2005-01-13,4.839736,5.282939,0.9414,996.88,13573.28
2005-01-14,4.841662,5.29381,0.9417,988.31,13494.78
2005-01-17,4.962993,5.5655660000000005,0.9421,967.45,13621.65
2005-01-18,5.063139,5.587308,0.9423,974.69,13604.22
2005-01-19,5.026547,5.5655660000000005,0.9423,967.21,13678.63
2005-01-20,5.030399,5.402513,0.9423,956.25,13543.59
2005-01-21,5.0612129999999995,5.337292,0.9422,982.6,13481.02
2005-01-24,5.224912000000001,5.543826999999999,0.9423,998.13,13386.99
2005-01-25,5.382834,5.511215,0.9423,997.78,13584.06
2005-01-26,5.377058,5.424253,0.9420000000000001,989.93,13623.68
2005-01-27,5.273059,5.4133830000000005,0.9423,974.63,13628.91
2005-01-28,5.300022,5.391642,0.9424,969.21,13650.06
2005-01-31,5.3308349999999995,5.467734,0.9424,954.88,13721.69
2005-02-01,5.359724,5.391642,0.9424,955.95,13578.26
2005-02-02,5.475276,5.467734,0.9424,1006.91,13555.8
2005-02-03,5.471425,5.391642,0.9424,993.22,13515.33
2005-02-04,5.473351,5.435123,0.9424,1016.86,13585.17
2005-02-16,5.754529,5.989507,0.9420000000000001,1023.58,14015.49
2005-02-17,5.625496,5.9134139999999995,0.9424,1020.61,13967.82
2005-02-18,5.550387000000001,5.815583,0.9424,1006.06,14087.87
2005-02-21,5.6620870000000005,5.9134139999999995,0.9424,1025.63,14111.65
2005-02-22,5.77764,5.924285,0.9424,1046.74,14090.52
2005-02-23,5.7660849999999995,5.891675,0.9424,1043.94,13957.94
2005-02-24,5.773789,5.978636,0.9424,1045.46,14060.91
2005-02-25,5.7930470000000005,6.000376999999999,0.9424,1046.76,14157.09
2005-02-28,5.995265,6.228651999999999,0.9423,1039.99,14195.35
2005-03-01,5.924007,6.304743,0.9424,1035.93,14061.15
2005-03-02,5.9259319999999995,6.239521,0.9424,1021.32,13850.78
2005-03-03,5.833491,6.228651999999999,0.9424,1027.71,13892.37
2005-03-04,5.789196,6.1416900000000005,0.9423,1023.67,13730.78
2005-03-07,5.872008,6.032987,0.9424,1029.87,13771.95
2005-03-08,6.016449,6.011246,0.9424,1048.99,13881.71
2005-03-09,6.103113,6.0982080000000005,0.9424,1046.54,13941.47
2005-03-10,6.0087459999999995,5.804713,0.9420000000000001,1022.41,13856.02
2005-03-11,6.1647419999999995,6.043858,0.9423,1027.43,13890.93
2005-03-14,6.234074,6.022117,0.9424,1031.03,13906.85
2005-03-15,6.187853,5.73949,0.9424,1013.52,13816.75
2005-03-16,6.155111,5.902544,0.9424,1003.07,13832.52
2005-03-17,6.018375,5.8264510000000005,0.9424,992.86,13817.99
2005-03-18,5.881638,5.6851389999999995,0.9423,978.67,13828.37
2005-03-21,5.850823,5.78297,0.9423,981.89,13834.35
2005-03-22,5.9028220000000005,5.652528,0.9424,964.02,13776.47
2005-03-23,5.746825,5.5329559999999995,0.9424,959.01,13603.61
2005-03-24,5.633198,5.630789,0.9424,964.8,13597.1
2005-03-29,5.7449,5.69601,0.9424,955.19,13411.88
2005-03-30,5.710234,5.5655660000000005,0.9423,937.03,13425.75
2005-03-31,5.762233,5.609047,0.9423,942.2,13516.88
2005-04-01,6.001043,5.652528,0.9423,978.15,13491.35
2005-04-04,5.9894870000000004,5.6416580000000005,0.9423,962.17,13513.41
2005-04-06,6.1223730000000005,5.69601,0.9424,973.67,13562.26
2005-04-07,5.947118,5.619918,0.9423,984.73,13602.35
2005-04-08,5.77764,5.609047,0.9423,1003.45,13666.72
2005-04-11,5.488758,5.282939,0.9423,995.42,13659.93
2005-04-12,5.452166,5.195978,0.9423,978.7,13658.05
2005-04-13,5.488758,5.217718,0.9423,1000.9,13799.62
2005-04-14,5.382834,5.195978,0.9423,986.98,13772.4
2005-04-15,5.280762999999999,5.098145,0.9422,974.08,13638.75
2005-04-18,5.1517290000000004,4.902481,0.9423,963.77,13355.23
2005-04-19,5.255726,4.945962000000001,0.9423,965.89,13444.09
2005-04-20,5.124766999999999,4.6850760000000005,0.9424,950.87,13501.63
2005-04-21,5.255726,4.761168,0.9424,943.98,13597.31
2005-04-22,5.244171,5.032925,0.9418,939.1,13693.55
2005-04-25,5.3308349999999995,5.076405,0.9420000000000001,930.07,13750.23
2005-04-26,5.3712800000000005,5.011184,0.9422,937.08,13859.58
2005-04-27,5.274986,4.86987,0.9423,926.6,13839.64
2005-04-28,5.382834,4.935829,0.9423,942.07,13909.42
2005-04-29,5.136322,4.913842,0.9417,932.4,13908.97
