TICKER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
A,20201201,153000,117.58,118.38,117.08,117.08,56481
A,20201201,153500,117.205,117.22,116.075,116.14,12413
A,20201201,154000,116.03,116.35,115.73,115.73,8007
A,20201201,154500,115.8,115.969,115.62,115.77,14472
A,20201201,155000,115.89,116.52,115.84,116.33,25840
A,20201201,155500,116.33,116.33,115.62,115.62,13172
A,20201201,160000,115.82,115.93,115.58,115.78,14837
A,20201201,160500,115.77,115.97,115.41,115.97,19308
A,20201201,161000,116,116,115.55,115.78,18613
A,20201201,161500,115.785,116.025,115.66,115.985,14868
A,20201201,162000,115.99,116.21,115.99,116.11,12355
A,20201201,162500,116.05,116.315,116.05,116.215,9648
A,20201201,163000,116.18,116.205,115.44,115.565,16202
A,20201201,163500,115.6,115.71,115.47,115.54,8311
A,20201201,164000,115.55,115.8,115.535,115.72,9671
A,20201201,164500,115.73,115.77,115.4,115.57,7312
A,20201201,165000,115.65,115.65,115.46,115.59,7744
A,20201201,165500,115.58,115.73,115.52,115.66,8223
A,20201201,170000,115.64,115.78,115.57,115.64,10169
A,20201201,170500,115.595,115.785,115.58,115.68,9722
A,20201201,171000,115.675,115.74,115.54,115.56,13327
A,20201201,171500,115.59,115.7,115.56,115.56,4123
A,20201201,172000,115.56,115.65,115.48,115.54,7372
A,20201201,172500,115.51,115.595,115.46,115.53,7295
A,20201201,173000,115.6,116.11,115.51,116.02,25332
A,20201201,173500,116.05,116.17,115.92,116.1,9990
A,20201201,174000,116.06,116.06,115.86,115.91,5270
A,20201201,174500,115.91,115.91,115.61,115.68,4989
A,20201201,175000,115.69,115.73,115.545,115.63,5113
A,20201201,175500,115.625,115.71,115.59,115.61,5055
A,20201201,180000,115.56,115.76,115.56,115.73,3747
A,20201201,180500,115.72,115.76,115.66,115.75,3401
A,20201201,181000,115.84,115.84,115.68,115.7,5649
A,20201201,181500,115.67,115.68,115.44,115.44,3704
A,20201201,182000,115.425,115.44,115.35,115.44,6962
A,20201201,182500,115.402,115.455,115.35,115.38,4644
A,20201201,183000,115.385,115.41,115.25,115.29,9352
A,20201201,183500,115.24,115.32,115.17,115.17,4544
A,20201201,184000,115.16,115.22,115.04,115.12,7272
A,20201201,184500,115.07,115.2,115.04,115.135,6667
A,20201201,185000,115.095,115.23,115.037,115.2,5782
A,20201201,185500,115.22,115.4,115.21,115.25,10253
A,20201201,190000,115.31,115.32,115.15,115.15,3001
A,20201201,190500,115.13,115.26,115.125,115.26,4264
A,20201201,191000,115.33,115.38,115.26,115.34,7454
A,20201201,191500,115.34,115.54,115.31,115.455,4104
A,20201201,192000,115.455,115.56,115.35,115.38,6784
A,20201201,192500,115.43,115.7,115.42,115.7,5616
A,20201201,193000,115.74,115.74,115.64,115.73,6274
A,20201201,193500,115.735,115.82,115.69,115.78,5158
A,20201201,194000,115.76,115.76,115.61,115.67,3869
A,20201201,194500,115.7,115.75,115.62,115.71,5244
A,20201201,195000,115.73,115.91,115.72,115.88,8404
A,20201201,195500,115.87,115.94,115.78,115.93,4654
A,20201201,200000,115.9,116,115.87,115.9,5609
A,20201201,200500,115.94,115.94,115.83,115.84,4050
A,20201201,201000,115.87,116.19,115.87,116.12,9100
A,20201201,201500,116.11,116.11,115.86,115.86,10606
A,20201201,202000,115.86,115.87,115.67,115.69,5351
A,20201201,202500,115.69,115.82,115.69,115.8,4383
A,20201201,203000,115.775,115.795,115.58,115.6,4900
A,20201201,203500,115.6,115.62,115.5,115.55,4636
A,20201201,204000,115.57,115.83,115.57,115.83,4848
A,20201201,204500,115.795,115.795,115.66,115.74,7010
A,20201201,205000,115.72,115.72,115.56,115.61,8192
A,20201201,205500,115.57,115.67,115.54,115.575,8286
A,20201201,210000,115.58,115.6,115.34,115.34,22407
A,20201201,210500,115.34,115.37,115.13,115.255,14654
A,20201201,211000,115.29,115.34,115.21,115.255,10146
A,20201201,211500,115.245,115.29,115.1,115.1,9535
A,20201201,212000,115.12,115.34,115.09,115.3,8485
A,20201201,212500,115.31,115.48,115.3,115.48,11228
A,20201201,213000,115.46,115.59,115.42,115.5,12429
A,20201201,213500,115.5,115.55,115.4,115.445,13909
A,20201201,214000,115.43,115.43,115.15,115.41,19064
A,20201201,214500,115.37,115.37,115.18,115.25,24362
A,20201201,215000,115.23,115.38,115.15,115.36,38839
A,20201201,215500,115.37,115.51,115.22,115.36,449747
A,20201202,153000,115.38,115.692,115.04,115.51,6124
A,20201202,153500,115.51,115.95,115.35,115.695,12174
A,20201202,154000,115.65,115.78,115.48,115.48,8267
A,20201202,154500,115.34,115.52,115.165,115.3,22412
A,20201202,155000,115.28,115.525,115.135,115.37,11963
A,20201202,155500,115.36,115.6,115.32,115.49,11767
A,20201202,160000,115.46,115.61,115.295,115.45,9029
A,20201202,160500,115.46,115.48,115.21,115.305,8222
A,20201202,161000,115.305,115.49,115.28,115.36,10314
A,20201202,161500,115.38,115.5,115.24,115.24,31057
A,20201202,162000,115.235,115.235,114.945,114.98,12285
A,20201202,162500,115.025,115.155,114.99,115.095,16533
A,20201202,163000,115.095,115.115,114.91,115.02,12275
A,20201202,163500,115.04,115.32,115.02,115.22,52588
A,20201202,164000,115.215,115.215,114.83,114.985,9175
A,20201202,164500,114.99,115.055,114.87,115.01,9300
A,20201202,165000,114.99,114.99,114.82,114.92,12382
A,20201202,165500,114.94,114.99,114.73,114.745,33561
A,20201202,170000,114.77,115.09,114.77,115.035,13236
A,20201202,170500,115.035,115.06,114.91,115.04,13739
A,20201202,171000,115.07,115.1,114.965,115.035,19499
A,20201202,171500,115.03,115.03,114.89,114.9,8802
A,20201202,172000,114.92,114.94,114.78,114.84,37475
A,20201202,172500,114.81,114.81,114.63,114.63,6775
A,20201202,173000,114.64,114.65,114.44,114.57,7532
A,20201202,173500,114.6,114.63,114.49,114.61,7636
A,20201202,174000,114.67,114.76,114.56,114.73,13746
A,20201202,174500,114.73,114.93,114.73,114.79,15695
A,20201202,175000,114.77,114.82,114.7,114.71,10466
A,20201202,175500,114.71,114.77,114.64,114.75,10425
A,20201202,180000,114.74,114.77,114.625,114.75,5324
A,20201202,180500,114.77,114.77,114.59,114.65,6931
A,20201202,181000,114.64,114.675,114.54,114.55,6882
A,20201202,181500,114.57,114.66,114.54,114.61,9819
A,20201202,182000,114.6,114.68,114.59,114.66,7274
A,20201202,182500,114.62,114.705,114.6,114.69,6766
A,20201202,183000,114.69,114.71,114.61,114.64,7268
A,20201202,183500,114.6,114.78,114.59,114.75,8160
A,20201202,184000,114.76,114.82,114.71,114.725,7467
A,20201202,184500,114.735,114.785,114.72,114.785,8169
A,20201202,185000,114.79,114.91,114.76,114.89,12727
A,20201202,185500,114.89,114.9,114.72,114.885,8756
A,20201202,190000,114.87,114.95,114.86,114.89,5784
A,20201202,190500,114.93,115.005,114.9,114.9,4579
A,20201202,191000,114.9,115.015,114.84,114.985,5970
A,20201202,191500,114.97,115.02,114.85,114.85,9965
A,20201202,192000,114.825,114.965,114.79,114.91,10382
A,20201202,192500,114.91,114.91,114.78,114.78,6798
A,20201202,193000,114.76,114.76,114.56,114.57,8809
A,20201202,193500,114.56,114.67,114.46,114.58,11096
A,20201202,194000,114.58,114.58,114.43,114.48,11319
A,20201202,194500,114.46,114.5,114.38,114.41,12023
A,20201202,195000,114.41,114.45,114.33,114.33,16099
A,20201202,195500,114.36,114.41,114.228,114.23,13986
A,20201202,200000,114.23,114.32,114.2,114.24,11767
A,20201202,200500,114.22,114.3,114.17,114.23,7744
A,20201202,201000,114.24,114.42,114.23,114.36,11580
A,20201202,201500,114.36,114.43,114.28,114.41,7846
A,20201202,202000,114.43,114.48,114.35,114.39,8635
A,20201202,202500,114.4,114.48,114.305,114.47,7719
A,20201202,203000,114.46,114.49,114.37,114.41,9308
A,20201202,203500,114.38,114.4,114.275,114.32,9540
A,20201202,204000,114.32,114.37,114.245,114.3,8401
A,20201202,204500,114.31,114.4,114.22,114.255,17004
A,20201202,205000,114.255,114.28,114.16,114.16,12108
A,20201202,205500,114.15,114.26,114.13,114.26,12646
A,20201202,210000,114.26,114.51,114.26,114.46,18074
A,20201202,210500,114.44,114.47,114.37,114.44,12496
A,20201202,211000,114.44,114.44,114.29,114.29,10116
A,20201202,211500,114.27,114.31,114.13,114.18,12053
A,20201202,212000,114.2,114.22,114.14,114.22,10188
A,20201202,212500,114.22,114.26,114.19,114.24,11341
A,20201202,213000,114.25,114.51,114.25,114.51,12455
A,20201202,213500,114.48,114.53,114.44,114.51,17547
A,20201202,214000,114.52,114.74,114.48,114.7,21444
A,20201202,214500,114.7,114.73,114.61,114.61,21584
A,20201202,215000,114.62,114.76,114.52,114.54,34277
A,20201202,215500,114.53,114.61,114.43,114.57,349306
A,20201203,153000,114.15,114.88,114.11,114.48,36274
A,20201203,153500,114.505,115.08,114.505,114.85,14604
A,20201203,154000,114.83,115.03,114.66,114.66,13248
A,20201203,154500,114.665,114.79,114.39,114.61,11224
A,20201203,155000,114.58,114.7,114.38,114.545,13465
A,20201203,155500,114.55,114.61,114.34,114.503,13327
A,20201203,160000,114.59,115.05,114.59,114.98,11827
A,20201203,160500,114.98,115.33,114.95,115.25,13402
A,20201203,161000,115.305,115.423,115.02,115.04,9820
A,20201203,161500,115.17,115.3,115.04,115.28,8354
A,20201203,162000,115.27,115.35,115.015,115.015,7056
A,20201203,162500,114.98,115.03,114.93,114.97,7728
A,20201203,163000,114.98,115.17,114.975,114.975,7567
A,20201203,163500,114.96,115.04,114.83,115.03,7006
A,20201203,164000,115.03,115.06,114.865,114.915,9229
A,20201203,164500,114.91,115.07,114.82,115,7007
A,20201203,165000,115.04,115.09,114.98,115.09,4547
A,20201203,165500,115.055,115.055,114.68,114.7,9195
A,20201203,170000,114.71,114.835,114.68,114.76,4025
A,20201203,170500,114.765,114.85,114.68,114.79,4623
A,20201203,171000,114.73,114.73,114.58,114.625,4391
A,20201203,171500,114.68,114.7,114.54,114.57,3037
A,20201203,172000,114.565,114.66,114.55,114.61,5429
A,20201203,172500,114.62,114.69,114.57,114.59,4549
A,20201203,173000,114.57,114.57,114.39,114.41,4863
A,20201203,173500,114.41,114.41,114.13,114.16,10038
A,20201203,174000,114.19,114.28,114.14,114.18,5889
A,20201203,174500,114.175,114.2,113.93,114.06,10636
A,20201203,175000,113.93,113.94,113.84,113.84,2121
A,20201203,175500,113.88,114,113.88,113.915,4401
A,20201203,180000,113.925,114,113.87,113.905,4046
A,20201203,180500,113.9,113.965,113.875,113.94,4258
A,20201203,181000,113.98,114,113.85,113.895,6763
A,20201203,181500,113.92,113.94,113.79,113.905,8327
A,20201203,182000,113.905,114.058,113.905,114,31143
A,20201203,182500,114,114.1,113.92,113.925,7075
A,20201203,183000,113.92,114.02,113.83,113.84,19997
A,20201203,183500,113.82,113.845,113.76,113.76,5650
A,20201203,184000,113.77,113.875,113.74,113.855,3221
A,20201203,184500,113.865,113.865,113.74,113.75,3120
A,20201203,185000,113.755,113.81,113.66,113.775,6124
A,20201203,185500,113.82,113.9,113.78,113.85,2763
A,20201203,190000,113.825,113.88,113.73,113.78,2847
A,20201203,190500,113.74,113.85,113.6,113.65,4671
A,20201203,191000,113.73,113.73,113.57,113.59,6213
A,20201203,191500,113.59,113.63,113.557,113.63,3379
A,20201203,192000,113.63,113.7,113.59,113.63,2703
A,20201203,192500,113.66,113.66,113.58,113.62,7203
A,20201203,193000,113.615,113.625,113.48,113.49,5023
A,20201203,193500,113.485,113.65,113.425,113.61,6339
A,20201203,194000,113.56,113.73,113.54,113.73,4230
A,20201203,194500,113.73,113.84,113.66,113.82,3693
A,20201203,195000,113.81,113.85,113.74,113.755,2130
A,20201203,195500,113.755,113.82,113.712,113.712,3828
A,20201203,200000,113.71,113.94,113.71,113.91,5585
A,20201203,200500,113.91,113.96,113.855,113.86,2336
A,20201203,201000,113.89,113.89,113.785,113.84,2672
A,20201203,201500,113.825,113.91,113.8,113.9,4062
A,20201203,202000,113.91,113.93,113.85,113.88,7989
A,20201203,202500,113.9,114.23,113.9,114.23,20422
A,20201203,203000,114.2,114.2,113.94,114.11,8712
A,20201203,203500,114.08,114.09,113.995,114.065,5346
A,20201203,204000,114.04,114.06,113.89,113.91,3212
A,20201203,204500,113.92,113.92,113.805,113.87,9728
A,20201203,205000,113.925,114.03,113.89,114.015,7967
A,20201203,205500,114.01,114.03,113.92,114.02,8849
A,20201203,210000,114,114.05,113.96,114.04,5328
A,20201203,210500,114.05,114.09,113.96,114.02,7808
A,20201203,211000,114,114.15,113.99,114.14,7774
A,20201203,211500,114.14,114.18,114.03,114.05,16839
A,20201203,212000,114.035,114.14,114.03,114.1,8866
A,20201203,212500,114.09,114.125,114,114.07,15439
A,20201203,213000,114.07,114.16,114.02,114.04,10371
A,20201203,213500,114.05,114.07,113.75,113.79,13342
A,20201203,214000,113.76,113.96,113.61,113.94,21596
A,20201203,214500,113.91,114,113.78,113.78,21989
A,20201203,215000,113.7,113.815,113.16,113.2,43397
A,20201203,215500,113.23,113.58,113.18,113.58,341371
A,20201204,153000,113.6,113.93,113.45,113.91,20732
A,20201204,153500,113.885,114,113.77,113.89,2778
A,20201204,154000,114.11,114.12,113.96,114.04,3072
A,20201204,154500,114.05,114.42,114.04,114.21,7450
A,20201204,155000,114.14,114.2,113.99,114.07,2932
A,20201204,155500,114.12,114.17,114,114.01,4000
A,20201204,160000,114.08,114.3,114.05,114.235,4907
A,20201204,160500,114.3,114.49,114.24,114.475,11273
A,20201204,161000,114.5,114.53,114.205,114.22,5225
A,20201204,161500,114.34,114.59,114.28,114.54,4099
A,20201204,162000,114.54,114.59,114.37,114.58,5094
A,20201204,162500,114.515,114.515,114.275,114.44,4719
A,20201204,163000,114.41,114.55,114.33,114.46,5802
A,20201204,163500,114.53,114.53,114.38,114.485,6614
A,20201204,164000,114.49,114.73,114.49,114.65,5507
A,20201204,164500,114.69,114.8,114.65,114.78,7950
A,20201204,165000,114.78,114.78,114.68,114.68,4814
A,20201204,165500,114.7,114.81,114.67,114.786,6197
A,20201204,170000,114.81,114.97,114.785,114.93,11257
A,20201204,170500,114.92,114.94,114.75,114.79,5928
A,20201204,171000,114.84,114.845,114.66,114.78,7363
A,20201204,171500,114.81,114.87,114.79,114.865,5488
A,20201204,172000,114.83,114.83,114.73,114.8,4915
A,20201204,172500,114.77,114.87,114.68,114.83,4447
A,20201204,173000,114.83,114.88,114.76,114.77,6027
A,20201204,173500,114.765,114.85,114.71,114.85,6610
A,20201204,174000,114.84,114.86,114.72,114.74,7650
A,20201204,174500,114.77,114.79,114.71,114.725,6380
A,20201204,175000,114.73,114.79,114.68,114.68,8658
A,20201204,175500,114.69,114.7,114.6,114.695,3779
A,20201204,180000,114.71,114.835,114.69,114.835,6574
A,20201204,180500,114.86,114.86,114.74,114.74,4692
A,20201204,181000,114.74,114.77,114.66,114.69,8221
A,20201204,181500,114.69,114.69,114.58,114.655,3850
A,20201204,182000,114.64,114.67,114.58,114.58,1253
A,20201204,182500,114.6,114.655,114.56,114.59,5066
A,20201204,183000,114.615,114.7,114.61,114.65,16345
A,20201204,183500,114.65,114.67,114.58,114.67,3925
A,20201204,184000,114.67,114.67,114.6,114.61,2029
A,20201204,184500,114.6,114.615,114.515,114.515,1725
A,20201204,185000,114.5,114.52,114.47,114.5,2213
A,20201204,185500,114.545,114.655,114.545,114.56,2850
A,20201204,190000,114.57,114.6,114.5,114.555,4343
A,20201204,190500,114.54,114.57,114.53,114.57,1166
A,20201204,191000,114.59,114.66,114.55,114.65,12275
A,20201204,191500,114.66,114.89,114.64,114.85,3000
A,20201204,192000,114.86,114.94,114.86,114.89,4561
A,20201204,192500,114.92,115.13,114.91,115.03,6235
A,20201204,193000,115.08,115.12,115.03,115.04,10476
A,20201204,193500,115.03,115.08,114.755,114.755,7006
A,20201204,194000,114.82,114.83,114.69,114.7,4144
A,20201204,194500,114.685,114.685,114.56,114.56,4189
A,20201204,195000,114.58,114.61,114.52,114.54,4926
A,20201204,195500,114.543,114.56,114.39,114.43,5420
A,20201204,200000,114.41,114.42,114.33,114.37,10679
A,20201204,200500,114.37,114.5,114.27,114.49,25264
A,20201204,201000,114.49,114.49,114.34,114.37,6923
A,20201204,201500,114.389,114.56,114.38,114.465,12171
A,20201204,202000,114.48,114.55,114.47,114.5,5309
A,20201204,202500,114.495,114.57,114.44,114.535,5007
A,20201204,203000,114.56,114.815,114.56,114.74,19865
A,20201204,203500,114.762,114.87,114.762,114.86,9768
A,20201204,204000,114.87,115.01,114.87,114.93,22541
A,20201204,204500,114.955,115,114.9,114.931,15483
A,20201204,205000,114.93,114.93,114.8,114.81,5085
A,20201204,205500,114.73,114.9,114.73,114.9,5467
A,20201204,210000,114.91,115,114.8,114.88,17005
A,20201204,210500,114.86,114.91,114.795,114.89,4969
A,20201204,211000,114.88,114.97,114.85,114.86,7660
A,20201204,211500,114.87,114.965,114.855,114.96,4250
A,20201204,212000,114.95,115.02,114.87,114.96,15639
A,20201204,212500,114.98,115,114.92,115,8329
A,20201204,213000,115,115.11,115,115.09,10504
A,20201204,213500,115.105,115.11,114.9,114.91,9943
A,20201204,214000,114.91,115.08,114.86,115.05,7349
A,20201204,214500,115.07,115.07,115,115.06,11942
A,20201204,215000,115.05,115.24,114.99,115.13,25138
A,20201204,215500,115.135,115.19,115,115.15,227533
A,20201207,153000,115.2,116.44,115.075,116.27,68973
A,20201207,153500,116.03,116.04,115.7,115.86,9184
A,20201207,154000,116,116.155,115.45,115.52,10577
A,20201207,154500,115.49,115.49,115.145,115.18,10695
A,20201207,155000,115.2,115.325,115.18,115.235,10712
A,20201207,155500,115.23,115.65,115.19,115.61,19777
A,20201207,160000,115.58,116.1,115.58,116.055,20596
A,20201207,160500,116.02,116.02,115.641,115.77,7628
A,20201207,161000,115.765,116.03,115.76,115.98,5333
A,20201207,161500,116.01,116.043,115.795,115.81,2397
A,20201207,162000,115.795,115.969,115.75,115.9,6103
A,20201207,162500,115.93,116.22,115.88,116.22,6867
A,20201207,163000,116.25,116.28,116.1,116.11,7401
A,20201207,163500,116.13,116.26,116.058,116.17,5498
A,20201207,164000,116.21,116.21,116.03,116.08,6087
A,20201207,164500,116.09,116.16,116.04,116.155,3909
A,20201207,165000,116.18,116.28,115.97,115.97,6659
A,20201207,165500,115.98,116.015,115.93,115.99,4327
A,20201207,170000,115.97,115.98,115.83,115.965,4401
A,20201207,170500,116.02,116.27,116.01,116.27,6710
A,20201207,171000,116.26,116.31,116.16,116.16,5597
A,20201207,171500,116.135,116.215,116.04,116.11,4622
A,20201207,172000,116.09,116.15,115.995,116.03,3164
A,20201207,172500,116.02,116.095,115.97,116.095,4245
A,20201207,173000,116.095,116.14,116.03,116.11,10594
A,20201207,173500,116.12,116.17,115.955,115.955,5499
A,20201207,174000,115.95,116.01,115.86,115.89,4054
A,20201207,174500,115.89,116.02,115.88,116.015,2691
A,20201207,175000,115.98,116.005,115.86,115.86,7025
A,20201207,175500,115.84,116.07,115.745,115.99,5962
A,20201207,180000,115.95,115.97,115.91,115.94,2162
A,20201207,180500,115.97,115.97,115.77,115.77,31048
A,20201207,181000,115.75,115.75,115.63,115.67,5241
A,20201207,181500,115.665,115.67,115.5,115.54,7438
A,20201207,182000,115.56,115.595,115.5,115.5,4633
A,20201207,182500,115.5,115.53,115.42,115.42,7738
A,20201207,183000,115.45,115.46,115.38,115.4,6073
A,20201207,183500,115.41,115.42,115.306,115.306,7799
A,20201207,184000,115.31,115.4,115.3,115.37,7180
A,20201207,184500,115.375,115.375,115.27,115.29,4874
A,20201207,185000,115.29,115.33,115.185,115.185,7365
A,20201207,185500,115.18,115.19,115.11,115.14,5882
A,20201207,190000,115.13,115.15,115.01,115.095,28957
A,20201207,190500,115.09,115.11,114.98,115.055,2903
A,20201207,191000,115.03,115.14,114.93,114.95,27785
A,20201207,191500,114.935,115,114.93,115,1200
A,20201207,192000,115.035,115.18,115.035,115.15,5707
A,20201207,192500,115.15,115.37,115.095,115.095,42183
A,20201207,193000,115.07,115.13,115.01,115.04,4016
A,20201207,193500,115.04,115.04,114.82,114.845,12361
A,20201207,194000,114.95,114.95,114.82,114.82,16501
A,20201207,194500,114.8,114.87,114.75,114.76,3444
A,20201207,195000,114.79,114.88,114.745,114.81,21715
A,20201207,195500,114.81,114.87,114.68,114.76,13677
A,20201207,200000,114.74,114.74,114.54,114.63,12145
A,20201207,200500,114.635,114.635,114.485,114.54,10357
A,20201207,201000,114.55,114.55,114.33,114.55,30211
A,20201207,201500,114.534,114.62,114.491,114.56,8382
A,20201207,202000,114.565,114.62,114.46,114.47,11498
A,20201207,202500,114.46,114.465,114.41,114.41,12871
A,20201207,203000,114.42,114.77,114.4,114.715,6368
A,20201207,203500,114.69,114.7,114.5,114.505,10744
A,20201207,204000,114.51,114.54,114.45,114.53,23655
A,20201207,204500,114.5,114.55,114.44,114.485,28610
A,20201207,205000,114.5,114.55,114.48,114.49,12284
A,20201207,205500,114.47,114.51,114.45,114.51,5672
A,20201207,210000,114.51,114.58,114.44,114.52,9913
A,20201207,210500,114.53,114.555,114.46,114.5,10743
A,20201207,211000,114.51,114.53,114.48,114.48,9966
A,20201207,211500,114.485,114.56,114.47,114.545,19706
A,20201207,212000,114.54,114.93,114.54,114.775,16089
