date,value
2007/10/11,6.85
2007/10/12,6.46
2007/10/15,7.09
2007/10/16,7.29
2007/10/17,7.12
2007/10/18,7.11
2007/10/19,6.91
2007/10/22,6.63
2007/10/23,6.3
2007/10/24,6.11
2007/10/25,6.49
2007/10/26,6.43
2007/10/29,6.66
2007/10/30,6.99
2007/10/31,7.28
2007/11/1,7.09
2007/11/2,6.63
2007/11/5,6.71
2007/11/6,7.2
2007/11/7,7.42
2007/11/8,6.81
2007/11/9,6.59
2007/11/12,6.83
2007/11/13,7.22
2007/11/14,7.28
2007/11/15,7.35
2007/11/16,7.29
2007/11/19,7.38
2007/11/20,6.81
2007/11/21,6.67
2007/11/23,6.67
2007/11/26,7.53
2007/11/27,7.42
2007/11/28,7.51
2007/11/29,7.45
2007/11/30,7.29
2007/12/3,6.97
2007/12/4,7.27
2007/12/5,7.04
2007/12/6,7.29
2007/12/7,7.04
2007/12/10,6.98
2007/12/11,7.12
2007/12/12,7.22
2007/12/13,7.46
2007/12/14,7.09
2007/12/17,7.06
2007/12/18,7.16
2007/12/19,7.18
2007/12/20,7.19
2007/12/21,7.03
2007/12/24,7.03
2007/12/26,6.94
2007/12/27,6.8
2007/12/28,7.11
2007/12/31,7.11
2008/1/2,7.83
2008/1/3,7.84
2008/1/4,7.51
2008/1/7,7.61
2008/1/8,7.59
2008/1/9,7.89
2008/1/10,7.96
2008/1/11,8.13
2008/1/14,8.45
2008/1/15,8.43
2008/1/16,8.23
2008/1/17,8.1
2008/1/18,8.42
2008/1/22,7.97
2008/1/23,7.84
2008/1/24,7.85
2008/1/25,7.8
2008/1/28,7.87
2008/1/29,8.1
2008/1/30,8.17
2008/1/31,8.1
2008/2/1,7.88
2008/2/4,7.56
2008/2/5,7.8
2008/2/6,7.94
2008/2/7,7.99
2008/2/8,8.06
2008/2/11,8.38
2008/2/12,8.37
2008/2/13,8.35
2008/2/14,8.5
2008/2/15,8.73
2008/2/19,8.91
2008/2/20,9.08
2008/2/21,8.9
2008/2/22,8.65
2008/2/25,9.15
2008/2/26,9.21
2008/2/27,9.21
2008/2/28,9.11
2008/2/29,9.1
2008/3/3,9.07
2008/3/4,9.21
2008/3/5,9.37
2008/3/6,9.7
2008/3/7,9.82
2008/3/10,9.59
2008/3/11,9.85
2008/3/12,9.69
2008/3/13,9.74
2008/3/14,9.84
2008/3/17,9.59
2008/3/18,9.1
2008/3/19,9.11
2008/3/20,8.54
2008/3/24,8.99
2008/3/25,9.28
2008/3/26,9.25
2008/3/27,9.3
2008/3/28,9.36
2008/3/31,9.86
2008/4/1,9.92
2008/4/2,9.6
2008/4/3,9.68
2008/4/4,9.36
2008/4/7,9.48
2008/4/8,9.78
2008/4/9,9.88
2008/4/10,10.18
2008/4/11,10.07
2008/4/14,10.03
2008/4/15,10.16
2008/4/16,10.11
2008/4/17,10.27
2008/4/18,10.08
2008/4/21,10.5
2008/4/22,10.56
2008/4/23,10.33
2008/4/24,10.58
2008/4/25,10.72
2008/4/28,10.95
2008/4/29,10.94
2008/4/30,10.81
2008/5/1,10.66
2008/5/2,10.37
2008/5/5,10.77
2008/5/6,11.09
2008/5/7,11.08
2008/5/8,11.33
2008/5/9,11.29
2008/5/12,11.38
2008/5/13,11.18
